stage,blastomeres,eye,glial,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,17.76,0,0,0,0,0,0,0,17.06,0,0,0
  5-6,32.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,27.85,0,0,0,0,0,0
 10-12,5,0,0,0,0,33.59,0,5.65,0,7.31,0,0
 14-21,0,2.01,0,0,0,4.78,0,0,0,0,0.88,0
 24-34,0,0.69,0,0,0,2.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,4.31,1.21,0,0,0,0,0
 48-58,0,1.07,0,0,0.4,6.77,0,0,0,0,0,0.79
 60-70,0,2.07,0,0,0,1.91,0,0,0,0,0,0
 72-82,0,0,0,0.55,0,4.88,0,0,0,0,0,7.7
 84-94,0,1.45,3.39,0,0,1.43,0,0,0,0,0,0
 96-106,0,0.7,0,0,0,1.15,1.19,0,0,0,0,0
108-118,0,0,1.67,0,0,3.84,0,0,0,0,0,0
120,0,0,0,0,0,4.08,0,0,0,0,0,0
