stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,109.61,1362.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.9,1118.03,0,0,0,0,0,0,0,0,0,0,0,0,31.91,0,0,0,0,0
  7-9,3.39,4.16,0,0,28.38,0,0,0,0,0,108.93,3.38,0,27.46,3.28,0,0,0,0,0
 10-12,0,8.15,9.47,0,13.54,0,0,0,0,0,105.1,0,0,41.51,0,0,0,0,0,0
 14-21,0,0,1.25,3.99,2.01,0,0,0,2.46,0,20.47,1.75,0,1.21,0,5.91,0.88,2.25,8.98,0
 24-34,0,0,0,0,1.34,0,0,0,6.3,0.74,30.07,0,0,0,0,0,0,0.71,2.55,0
 36-46,0,0,0.56,0,1.54,1.19,0,0,2.61,2.31,18.65,0,0,0,0,0,0,0,8.04,0
 48-58,0,0,0,0,1.96,0.88,0,0,0.8,0,4.91,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.98,2.79,0,0,1.64,0,2.76,0,0.58,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.24,7.55,0,0,3.06,0,2,0,0,0,0,0,0,0,4.32,0
 84-94,0,0,0,0.73,0.64,1.54,0,0,1.54,0,0.66,0,0,0,0,0,0,0,0,3.56
 96-106,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.5,1.54,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.19,1.99,0,0,1.79,0,0,0,0,0,0,0,1.7,0
