stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.96,6.18,0,0,21.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,0,0,0,8.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.07,7.51,0,3.93,0,0,0,0,0,0,0,0,0,0,4.3,0,0,2.87,12.45,3.46,0,0,0,0,1.79,0.9,0,0,10.67,11.26,0,0,0,0
 24-34,0,0.82,0,2.11,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.6,15.67,0,0,3.22,0,0,12.6,0,1.08,0,1.29,4.31,0,4.53,0,1.55
 36-46,0,9.72,0,0,0,0.81,0,0,0.93,0,0,0,0,1.47,8.41,0,0,0.9,14.48,0,0,0,0,0,11.06,0,0,0,0,4.58,0,2.4,0,0
 48-58,0,0,0,2.54,0,0,2.51,0,0,0,0,0,0,0,3.07,0,0,0,18.18,0,0.78,0,0,0,0,0,0,0,0,8.93,0,0,0,0
 60-70,0,1.5,0,24.82,0,0,0.63,0,0,0,0.6,0,1.72,0,8.18,0,0,0.65,28.47,0,0,0,0,0,5.87,0,0,0,0,1.71,0,1.4,0,0
 72-82,0,2.09,0,21.89,0,1.28,5.98,0,0,0,0,0,0,0,6.01,0,0,0,29.8,0,0.91,0,0,0,0,0,0,1.06,0,1.49,0,3.75,0,1.08
 84-94,0,5.48,0,0,0,0,1.81,0,0,0.78,0,1.97,0,0,0.9,0.57,0,2.18,15.29,0,0,0,0,0,0,0,0,0,0,2.08,1.21,0,0,0
 96-106,0,4.36,0.98,17.09,1.28,0,6.9,0.73,1.2,0.65,0,0,0,1.15,17.79,0,0,0,22.57,0,1.36,0,0,3.05,1.53,0,0,0,0,1.13,0,0,0,0
108-118,0,2.35,0,6.97,0,0,1.73,0,3.91,0.44,0,2.05,0,0,0,0,0,2.03,6.44,0,0,1.6,0,2.29,0.92,0,0,0,0,0,0,0,0,0
120,1.28,5.88,0,2.16,2.24,0,3.65,0,0,0,0,0,0,0,3.57,0,11.9,0,21.56,0,15.75,0,0,12.35,0,0,0,0,0,0,0,1.4,4.8,0
