stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,37.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.64,0,0,0,13.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,38.43,0,0,0,7.9,0,0,0,0,0,3.28,0,0
 14-21,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,4.75,0,0.98,1.21,0,0,0.91,3.86,0,0.81,11.96,0,0
 24-34,0,0,0,0,0,5.22,0,0,0,0,0,0.74,0,0,5.98,0,6.66,0,0,0,0,2.65,0,0,16.22,0,0
 36-46,0,0,0,0,0,5.92,0,0,0,0,0,2.48,0,0,6.25,0,3.82,0,0,0,0,15.09,0,0,8.44,0,0
 48-58,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,2.27,2.17,1.44,0,0,0,0,0.38,0,0,14.89,0,0
 60-70,0,0,0,0,0,3.14,0,0,0.86,2.61,0,0,0,0,8.9,1.12,1.78,0,0,0,0,0,0,0,0.88,0.77,0
 72-82,0,0.68,0,0,0,3.98,0,0,0,2.88,0,0.49,0,0,3.96,0,0,0.95,0,0,0,0,0,0,3.54,46.49,0
 84-94,0,1.59,0,0,3.83,1.81,0.77,0,0,0.58,0,3.92,0,0,4.39,0,5.64,0.89,0,0.59,0,0,0.66,0,3.46,140.23,0.56
 96-106,0,5.18,4.83,1,14.2,2.18,0.63,0,0,0.84,0,5.48,0,1.79,7.43,0,1.07,0.62,0,1.67,0,0,0,0,5.12,552.14,1.64
108-118,0,0,0,0,6.14,6.07,0,0.78,0,0,0.43,4.51,0.54,0,8.57,0,3.61,1.39,0,0,0,0,0,0,1.58,470.64,0
120,0,10.8,0,0,0,0,0,3.53,0,2.98,0,9.31,0,0,35.13,1.48,6.86,3.28,0,0,0,0,0,0,0,221.06,0
