stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,13.57,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0.88,0
 48-58,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,5.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13
 72-82,0,27.98,0,0,0,0,0.5,0,0,0,0.99,2.3,0,0,2.82,0,2.42
 84-94,0,55.13,0,2.67,0,0,1.23,0,1.07,0,0.68,0,0,0,7.71,0,3.09
 96-106,0,328.8,0,4.88,0,1.14,9.9,1.11,5.09,6.47,1.54,7.57,0,0,47.87,0,21.76
108-118,0,479.95,5.94,13.41,1.09,0.59,14.72,0,30.28,7.6,0,11.45,0.98,0,44.99,0,38.28
120,0,581.57,0,0,2.05,0,5.52,0,31.94,1.45,0,27.34,0,0,118.97,0,20.9
