stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.97,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,15.14,0,0,0,10.8,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.99,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0.91,21.83,0,0,0,0,0,0,2.24,15.1,0,0,0,0,0
 24-34,0,2.28,13.38,0,0,0.71,0,0,1.45,0,0.61,0,0,0,0,0,0,1.75,3.35,0,3.82,159.11,0,7.35,0.68,0,0,0,0,43.4,0,0,0,0,0
 36-46,0,0,0,0,0,9,0,0,4.56,0,0,0,0.56,0,0,0,0,0,0,0,0,247.16,0.58,2.1,0.57,0,0,0,0,68.62,0,0,0,0,0
 48-58,0,0,4.6,0,0,52.16,0,0,7.97,0,0.49,0,0,0,0,0,1.12,2.2,2.64,0,7.18,362.34,0,3.9,0,0,3.8,0,0,69.53,0,0.4,0,0,0
 60-70,0,0.82,2.78,0,0,117.26,0,0,7.43,0,0.97,0.6,0.6,0,0,0,0,4.42,1.27,0,0,342.9,0,2.05,3.91,0,5.44,0.62,0,50.15,3.21,0,2.44,0,4.38
 72-82,0,5.19,1.09,6.51,0,202.22,0,4.21,13.4,4.74,0,0,0,2.2,0,1.36,0,19.39,6.82,1.77,1.25,417.41,0,3.15,0.76,0,0,0,0,84.04,0,0,0,0,0
 84-94,0,2.29,0,0,0.92,149.49,0,0.74,19.86,2.49,0,0,0,0,0,0,0,7.4,12.34,0,0,286.12,0,4.92,0.64,0,7.85,0,0,36.38,2,0,0,0,0
 96-106,0,3.38,0.58,3.46,1.54,162.81,0,0,24.47,7.42,0,0.75,2.34,0,0.77,0,0,6.61,11.78,0,0,273.53,0,6.16,1.67,0,12.8,0.73,0,34.21,2.55,3.76,1.21,0,0
108-118,0,2.64,0.71,8.29,26.55,126.59,0,0,12.04,5.3,0,0.79,5.3,1.01,1.02,0.88,0,4.83,9.44,5.29,0,355.98,0,6.07,0,0,2,0,0,31.29,0,0,1.84,0,0
120,0,3.29,3.24,0,3.33,209.91,6.51,0,52.07,21,0,0,0,0,0,3.61,0,23.57,17.28,0,0,832.8,0,7.9,1.43,0,2.08,0,0,21.64,8.36,0,10.86,5.05,0
