stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,363.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.58,136.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.67,7.94,0,0,15.89,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.5,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.74,0,0,0,17.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.72,0,0,0,12.71,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,146.5,0,0,0,68.85,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.64,23.43,3.38,0,6.16,0,0,0,11.93,1.76,0,0,0,2.67,0,0,0,0,6.54,0,0,0,182.35,0,2.03,0.95,6.07,20.86,11.34,2.04,0,15.09,57.92,0,0,6.5,0,0
 24-34,0,0,0,0,16.98,1.61,0,45.07,0,0,1.53,5.83,0,0,0,0.87,2.61,0,0,0,0,20.83,0,0,5.28,248.81,0.67,1.31,4.2,0,41.4,0,0,0,0.79,51.21,0,0,1.34,0,5.64
 36-46,0,0,0,0,18.48,0,0,68.41,0,0,0,4.46,0,0,0,0,0,0,0,0,0,3.43,0,0,0.67,188.86,0,0.58,4.54,0,49.85,0,0,0,0,46.8,0,0,0,0,3.08
 48-58,0,0,0,0,17.03,0,0,103.23,0,0,0,5.08,0,1.19,0,0,0.48,4.96,0,7.23,0,9.66,1.73,0,4.75,96.75,0,3.23,7.35,0,23.89,0,0,0,0,20.36,0,0,0,0,0
 60-70,0,0,0,0,15.38,3.59,0,77.79,1.07,2.48,0,2.6,5.32,0,0,0,0,1.16,6.02,1.06,4.02,4.5,0.74,1.71,0,115.59,0,0,7.01,0,7.63,0,1.37,1.44,0,1.47,0,0,3.47,0,0
 72-82,0,0,0,0,22.24,0,0,21,0,5.04,0,3.29,2.85,0,0,0.5,2.33,0,0,5.3,0,10.24,0,0,3.36,44.48,0,0.63,0.51,0,20.69,0,0,0.79,0,1.06,0,1.56,0.52,0,0
 84-94,0,0,0,0,4.72,0,1.17,6.04,0,0,0,4.6,3.39,0,0,1.11,2.89,0.82,1.57,0.69,0,8.91,0.93,1.87,3.98,20.98,0,1.47,0.64,0,8.78,0,4.79,0,0,3.13,4.52,0,1.58,0,0
 96-106,0,0,0.99,0,5.83,0,0,24.45,0,2.37,0,7.5,4.21,0,0.66,2.01,0,0,0,0,0,4.08,0,0,0,38.13,0,0,7.52,0,9.06,0,2.09,0,0,0,0,0,4.2,0,0
108-118,0,0,0,0,6.77,1.92,0,14.77,0.52,0.72,0,6.14,2.91,0,0,1.6,2.3,0,0,0.5,0,6.88,0,0.62,0.62,38.42,0,2.16,1.51,0,9.29,0,0.87,0,0,9.19,0.51,0,0,0.68,0
120,0,0,0,0,11.83,0,0,28.37,1.51,0,0,13.52,0,0,0,1.3,2.37,0,1.34,2.26,0,3.1,2.91,0,0,45.08,0,0,0,0,5.83,0,3.15,0,0,5.85,1.1,0,1.09,4.27,0
