stage,epidermis,eye,fast.muscle,glial,immune,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,4.19,0,6.93,0
 14-21,0.83,0,0,0,0,0,0,0,2.59,0,0,0
 24-34,0,0,0,0,0,0,1.97,0,4.5,0,0,2.41
 36-46,0,0,0,0,0,0,0,1.53,7.89,0,0,10.52
 48-58,0,0,0,0,0,0,1.79,0.48,1.26,0.76,0,2.56
 60-70,0,0,0,2.36,0,0,0,0,6.51,0,0,2.12
 72-82,0,2.35,0,0,0.54,0,0,0,2.61,0,0,1.27
 84-94,0,0,0,0,0,0,0,0,2.79,0,0,0
 96-106,0,1.55,0.95,0,0,0,0,0,0,0,0,0
108-118,0,5.77,0,0,0,0.58,1.79,0,2.51,0,0,1.42
120,0,0,0,7.54,0,0,0,0,0,0,0,13.59
