stage,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.56,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,18.87,0,0,0,0,0,0,0
 10-12,0,3.2,0,0,0,0,0,0,0,0,0,0,0,40.98,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,10.46,0,0,0,0,0,0,0,16.58,0,0,6.97,1.09,0.9,8.91,0,23.36,0,0,0
 24-34,0,0,0,1.43,0,5.67,0,0,2.39,0,0,1.36,2.47,29.59,1.33,5.88,0.69,0,2.2,1.52,0.69,16.21,0,0,0
 36-46,0,0,0,2.59,0,9.69,0.61,0,0.62,0,0,0.7,0,20.09,0,9.01,0,0,1.29,4.28,0,12.26,0,0,0
 48-58,0,0,0,7.66,0,3.88,0,1.22,0,0,0,1.42,0,12.91,0,9.51,0,0,0,3.54,0,8.43,0,0,0.51
 60-70,0,0,0,9.84,0.78,9.86,2.72,0,0,0,0,4.23,0,10.57,8.49,8.2,0,0,8.27,0,0,14.2,0,0,0
 72-82,0,0,0.73,1.92,0,9.01,0,0,0,0,0,2.41,0,19.68,0,7.84,2.99,0,2.2,0,0,9.15,0.91,0,0
 84-94,0,0,7.46,2.39,0,5.88,0.61,0,2.86,0.8,0,5.79,0,10,0,3.2,0,0,0.7,1.64,0,8.29,0,1.96,0
 96-106,0,0,0.59,4.17,0,3.45,0,0,0,0,0,4.51,0,10.85,0,22.53,1.29,0,3.03,0,0,3.94,0,0,0
108-118,0,0,0.9,5.66,0,2.95,0,0.75,0.47,4.11,2.85,10.46,0,16.74,0,9.02,5.38,0,1.42,0,0,2.24,0,0,0
120,0,0,0,7.68,0,15.03,4.43,0,0,1.62,0,0,0,12.71,0,34.46,3.98,0,3.94,0,0,0,0,0,0
