stage,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,neural,olfactory,pericytes,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,0,0.87,0,0,1.49,0,0,0,2.33,1.09
 24-34,0,0,0,0,0,0,0,0,1.67,0,0,0,0,1.69
 36-46,0,0,0,0,0,0,0,0,18.46,0,0,0.83,0,0
 48-58,0,0,2.54,0.63,0,0,0,0.59,17.65,0,0,0.48,0,1.24
 60-70,0,0,0,0,0,0,0,0,9.7,0,4.14,0.72,0,0.83
 72-82,0.69,0,9.19,0,0,0,2.93,0,10.5,1.96,0,0,0,0
 84-94,0.95,0,4.85,0,0,0,0,0.73,4.13,0,0,0,0,0
 96-106,0.57,0.96,12.78,0,0,0,0,0,5.32,0,0,0,0,1.63
108-118,0,0,6.14,1.43,0,0,0,0,6.28,0.59,0,0,0,0
120,0,0,4.76,0,9.76,0,0,0,0,0,0,0,0,0
