stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.76,0,0,0,0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,5.5,0,0,9.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,36.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.87,0,0,0,15.02,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.03,200.67,6.14,0,0,1.18,0,0.92,0,4.07,0,0,0,0,0,0,13.59,0,0,0,21.54,4.62,4.6,0,9.11,0,0,0,7.36,9.92,0,11.08,0,0,0,0,0,0
 24-34,0,0,16.33,493.09,0,20.47,1.11,23.56,1.54,2.08,4.98,1.06,0,0,0.7,14.23,0.74,1.77,14.72,2.03,0,10.41,165.83,10.79,1.62,0,0,0,1.3,0,0,38.93,0,27.74,24.37,0,0,3.89,0,0
 36-46,0,0,7.24,420.48,0,32.38,7.77,43.9,0.56,6.06,9.4,0,0,0,0,10.3,1.66,0,15.38,0.59,0,13.79,423.62,4.73,0,0,0,0,1.41,0,0,36.87,0,1.34,39.49,0,0,0,0,0
 48-58,0,0,6.52,404.9,0,47.4,13.31,27,0,9.14,4.12,0,0.96,0,0,8.25,0,0,29.52,6.18,0,11.87,754.21,14.17,3.01,2.98,0,0,0,0,0,22.75,0,0,57.88,0,0,0,0,4.02
 60-70,0,0,0,337.69,0,170.43,9.54,25.32,3.28,39.63,10.8,0,2.97,2.65,0,8.47,3.47,0,82.09,2.98,0,10.13,996.75,0,2.86,11.5,0,0,0,0,0,13.49,0,0,101.02,0,4.57,0.7,6.59,0
 72-82,0,0,0,249.22,0,258.03,5.64,17.6,0,88.58,8.33,0,2.05,3.51,0,10.55,0,0,121.74,0,3.37,17.07,1133.4,3.58,2.6,2.65,0,7,0.72,0,0,12.39,0,0,97.29,0,3.64,0,17.95,0
 84-94,0,0,1.61,378.42,0,231.34,9.94,49.62,0.74,57.21,10.73,0,4.61,5.43,2.57,8.14,7.74,0,148.68,0.57,0,13.07,810.68,11.64,3.91,4.74,0,2.68,16.61,0,0,17,0,0,63.19,1.51,16.27,2.48,70.58,0
 96-106,0,0,0,307.74,3.17,221.53,8.19,23.63,1.98,60.65,7.21,0.96,11.15,4.06,0,6.48,7.13,0,120.3,0.97,3.39,26.02,623.19,0,3.96,12.59,0,25.08,27.56,0,0,14.94,0,0,27.46,0.7,7.18,3.3,40.74,6.12
108-118,0.83,0,0,355.11,3,209.89,15.97,32.33,0,96.07,7.06,0,3.14,4.75,13.58,10.9,8.12,0,146.38,1.14,2.36,17.05,776.35,0,4.55,8.72,0,19.73,13.71,0,0,16.19,0.66,0,21.93,1.75,17.61,6.9,46.69,5.94
120,0,0,0,320.72,0,172.85,23.63,61.24,0,227.04,0,10.58,3.55,3.26,0,8.67,0,0,194.43,11.14,2.35,24.4,1363.36,0,1.02,9.58,0,15.91,7.02,0,0,27.29,0,0,22.33,0,17.18,0,153.56,7.88
