stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,1.17,0,0,0,2.31,1.58,0,0,0,0,56.04,0,0,0,0,0,0
 24-34,0,0,8.73,0,0,0,5.39,0,0,0,11.06,0,0,0,0,0,18.65,0,9.69,0,0,0.69,13.27,0,0,0,0,0,199.99,0.78,0,0,0,0,0
 36-46,0,0,0,0,0,0,18.11,0,0,1.18,16.45,0,0,0,0,0,14.67,1.47,1.52,0,0,0,23.25,3.37,0,0,0,0,130.19,1.88,0,0,0,0,0
 48-58,0,0,0.41,0,0,0,31.24,0,0,0,19.73,0,0,0,0,0,39.46,0,1.24,0,0,0.43,15.2,0,0,0,0,0,68.29,2.23,0,0,0,0,2.81
 60-70,0,0,0,1.72,0,0,28.17,0,0,3.35,48.95,0,0,0,0,0,77.89,0,2.49,0,1.78,0,20.52,0,0,0,0,0,104.18,3.25,0,0,0,0,1.87
 72-82,0,4.82,0.56,0,0,0.51,28.66,1.28,0.69,4.22,140.27,0,0,0,2.56,0,263.38,0,11.26,0,0,0,67.31,0,2.17,0,1.27,0,129.59,2.58,0,0,1.71,0,11.54
 84-94,0,7.91,0,0,18.6,4.66,46.38,0,5.59,11.2,244.03,0,0,3.28,0,0,765.77,0,7.07,0,5.36,0,53.26,0,2.35,0,3.55,0,229.36,5.69,0,0,0,0,0
 96-106,0,15.9,0,8.03,10.42,6.8,81.67,0,4.98,11.15,261.97,0,0,1.18,0.8,0,1130.44,0.69,24.29,1.42,0,0,189.84,1.12,2.07,0.98,12.03,1.35,216.98,8.46,0,0,6.53,0,2.82
108-118,0,4.58,0.49,4.47,6.94,4.8,58.85,0,0,11.45,149.42,2.89,0.69,2.19,0,0.82,1879,0,23.5,0,0.94,1.97,143.23,0,2.16,1.56,8.82,0,205.9,0,8.76,0,5.92,0,0.49
120,0,13.05,1.66,1.3,1.71,0,72.93,1.11,0,10.55,129.95,0,1.57,1.28,0,0,880.17,0,14.91,0,0,10.14,119.76,0,0,2.3,5.74,0,140.66,0,0,1.54,3.92,4.27,0
