stage,blastomeres,endoderm,erythrocytes,eye,glial,immune,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,7.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.34,0,0,0,0,0,0,0,9.12,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.41,13.09,0,0
 14-21,0,0,0.94,0,0,0,0,0,0,0.93,0,0,3.21
 24-34,0,0,0,0,0,0,7.46,0,0,9.31,0,0,0.82
 36-46,0,0,0,2.9,0,0,0,0,0,12.13,0,0,1.52
 48-58,0,0,0,0,0,0,0,0.42,0.57,5.89,0,0,0
 60-70,0,0,0,1.65,1.57,0,0,0,0,2.79,0,0,0
 72-82,0,0,0,1.72,0,0,0,1.24,0,1.84,0,0.78,0
 84-94,0,0,0,1.61,0,0,0,0,0,2.75,0,0,0
 96-106,0,0,0,2.75,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0.74,0,0,0,6.51,0,0,0
120,0,0,0,0,0,0,0,2.85,0,0,0,0,0
