stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01,0,0,0,0,0,0
 10-12,0,0,10.53,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,26.37,36.44,0,0,0,1.78,0,0,0,0
 24-34,0,0,0,0,1.4,0,0,0,0,0,3.45,602.52,106.15,0,0,0,16.73,0,0,0,0
 36-46,7.11,0,3.22,0,0,0,0,0,0.67,12.57,2.02,1103.36,50.73,0,0,2.02,57.33,1.04,0.82,0,0
 48-58,7.35,3.72,50.42,0,1.35,1.36,0,0,0,31.23,0.93,714.15,15.51,1.14,0,0,5.21,0,0,0,6.27
 60-70,0,0,5.24,0,0,0.72,0,0,0,33.51,0,1551.86,21.54,0,0,0,4.42,0,0,0,3.46
 72-82,2.78,0,19.13,0,3.76,0.61,0,0,0,23.23,2.2,899.42,0,0,0,0,0,0,0,0,4.75
 84-94,6.67,0,2.85,0,0.66,0,1.2,0,0,8.49,0.68,489.58,8.03,0,0,0.98,7.27,0,0,0,0
 96-106,3.02,1.87,66.35,0.8,0,3.97,0,9.18,0,0,0,25.81,45.69,0,0,0,0,0,0,0,0
108-118,18.06,0,12.4,0,0,0,0,0,0,0.82,2.97,591.53,62.25,0,0,0,3.18,0,0,0,0
120,5.71,0,1.23,0,0,0,0,0,0,0,0,1237.21,137.07,0,0,0,0,0,0,5.66,0
