stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,ionocyte,iridophores,liver,mesenchyme,neural,paraxial.mesoderm,periderm,slow.muscle
  3-4,64.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.77,0,0,0
 10-12,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.96,0,0.87,0,0,0,0,0,0,7.95,0,0,0
 24-34,0,0.69,0,0,0,0,0,0,8.52,0,1.87,0,0,1.98
 36-46,0,1.53,0,0,0,0,0,0,0,0,1.05,7.09,0.95,0
 48-58,0,0,4.63,0,0,0,0,0,1.78,0,1.13,0,0,0
 60-70,0,0,4.93,0,6.54,0,0,0,0,0.77,0.7,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.76,1.21,0,0,0
 84-94,0,0,0,0,0,0,0,0.82,0,0,0.87,0,0,0
 96-106,0,0,0,0.69,5.21,0,0,1.48,0,1.02,0,0,0,0
108-118,0,0,0.52,0,0,0.54,0.93,0,0,1.52,0.9,0,0,0
120,0,0,6.71,0,0,0,0,0,0,0,0,0,0,2.07
