stage,axial,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,119.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.03,133.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.62,19.02,3.86,0,4.88,0,0,0,31.09,0,0,13.25,0,0,0,0,0,0
 10-12,0,0,5.95,0,9.99,0,0,0,38.8,3.15,0,7.06,0,0,0,0,0,0
 14-21,0,0,0,0.9,1.01,0,0,0,11.27,0,1.21,0,0.88,0.93,2.43,0,0,0
 24-34,0,0,0,0,0,0.68,0.76,0,18.01,0,0,0,0,0,0.78,0,0,0
 36-46,0,0,0,0,1.75,0,0,6.42,1.41,0,0,0,0,0,2.2,0,0,0
 48-58,0,0,0,0,1.37,0,0,0.86,3.23,0,0,0,0,0,0.38,0,0.61,0
 60-70,0,0,0,0,0,0,0,2.67,1.74,0,0,0,0,0,0,0,0,0.73
 72-82,0,0,0,0,1.07,1.26,0,1.18,0,0,0,0,0,0,0,0.9,0,0
 84-94,0,0,0,0,0,0,0,1.82,2.4,0,0,0,0,0,1.28,0,0,0
 96-106,0,0,0,0,1.69,0,0,0,3.63,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.16,0,0,0,3.3,0,0,0,0,0,0,2.45,1.55,0
120,0,0,0,0,0,0,0,3.05,6.29,0,0,0,0,0,0,0,0,0
