stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,24.64,0,0,0,0,0,3.9,0,0,0,0,0
 14-21,0,0,3.12,0,0,0,1.07,0,0,0,0,0,3.59,0.94,7.28,0,0,1.65,1,2.7,1.79,2.92,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.65,1.43,7.1,6.89,2.46,1.32,0,0,10.07,13.61,0,0,0.84,0
 36-46,0,0,3.27,0,0.76,1.17,6.1,0,0.63,0,0,0,0.99,0,7.06,2.76,2.9,1.16,0,0,0.6,17.56,0,0,0,0
 48-58,0,0,0,0,3.76,0.69,7.79,0,0,0,0,1.87,4.58,1.02,9.65,4.86,11.49,0.46,0,0.49,1.65,4.85,0,0,0,0
 60-70,0,0,0.97,0,1.97,0,3.74,0,0,0,0,0,2.92,0,4.97,0.75,9.98,2.5,0,0.67,0,16.26,0,4.21,0,0
 72-82,0,0,0,0.58,3.79,0,4.7,0.94,0,0,0.64,0,3.91,0.78,2.68,0,7.32,1.4,0,0,0.86,5.54,0,0,0,1.26
 84-94,0,0,0,0,1.45,0.93,7.93,0,0,0.56,0.59,0,0.89,0,6.93,0,16.71,2.36,0,0,2.27,2.65,0,0.59,0,0
 96-106,0,0,0,0,0,0,2.51,0,0,0,6.45,0,0,1.6,2.05,0,9.25,5.41,0,0,1.71,15.09,0,0,0,0
108-118,0,1.06,0,0,0,0,2.58,0.63,0,0,3.09,0,2.06,1.58,10.42,0,8.5,4.76,0,0,1.16,4.99,0,0,0,0
120,0,0,3.59,0,0,0,0,0,0,1.63,3.03,0,2.08,0,22.47,0,1.11,9.46,0,0,0,1.34,1.37,0,0,0
