stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,122.11,3721.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.11,0,0,0,0,0,0,0,0,0,0
  5-6,79.39,1911.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.64,10.41,0,0,7.98,21.7,0,0,0,0,0,0,0,0,0,0
  7-9,0,26.49,0,0,0,0,0,16.42,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,285.2,0,0,0,66.6,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.98,0,0,0,0,0,19.53,0,0,0,0,0,17.56,0,0,0,0,0,0,0,0,0,0,0,139.28,0,0,0,43.07,0,0,0,20.33,0,0,3.51,0,0,0,0
 14-21,0,0,0,0,13.79,3.05,0,24.94,0,0.87,0,0.89,0,10.16,0,0,60.18,2.6,0,0,6.71,1.97,1.09,0,8.08,78.37,10.55,0,0,0,1.74,1.16,6.06,0,0,11.55,9.56,0,0,0,2.63
 24-34,0,0,0,0,2.88,4.17,0,31.99,0,0.71,0,0.61,0,3.63,0,0,418.28,7.68,0,0,48.26,8.09,72.72,0,2.24,100.5,0,0,1.75,0,3.92,0,0,8.18,0.7,2.4,10.36,0,0,2.32,12.29
 36-46,0,0,0,0,5.28,0,0,32.61,0,0,0,0,0,3.95,0,0,232.23,9.47,0,0,17.03,12.25,19.71,0,0.79,90.44,4.05,0.76,0,0,2.06,0,0,11.27,0,0,9.19,0,0,3.43,48.51
 48-58,0,0,0,0,5.14,4.15,0,18.23,0,0,0.43,0.42,0,9.97,0,0,57.05,61.14,0.38,0,22.86,6.7,4.14,0,0.68,43.61,0,0,0,0,3.3,0,0,1.82,0,0,4.3,0,0,2.78,46.2
 60-70,0,0,0,0,4.39,4.47,0,36.47,0,0.68,0,13.97,0,9.13,0,0,33.67,190.68,0,0,31.62,6.27,1.49,0,0,45.21,1.06,0,0,0,1.52,0,0,2.14,0,0,1.82,0,1.12,9.13,77.17
 72-82,0,0,0,0,1.49,9,0,18.83,0,5.84,0,15.61,0,3.68,0,0,44.86,237.9,0,0,0.94,7.68,2.8,0.93,0.7,22.41,0,0,0,0,0.6,0.56,0,4.08,0,0,0,0,10.38,10.3,42.95
 84-94,0,0,0.84,0,11.06,0.74,0,23.05,0,0,0,6.33,0.58,3.42,1.44,0,16.99,325.77,0,0,15.63,1.96,3.61,2.84,0,26.4,0,0,4,0,2.42,0,0,3.76,0,0,5.51,6.06,4.52,7.68,69.97
 96-106,0,0,0,0.72,9.87,2.27,0,15.36,0.65,0.99,0,12.06,2.89,2.12,0,0.78,47.15,365.77,0,0,2.14,6,10.72,0,0,22.6,3.18,0,0,0,4.58,0.64,0,14.21,0,0,0,16.37,39.18,4.07,71.2
108-118,0,0,0,1.19,19.73,12.8,0.45,47.4,0,5.22,0,33.63,4.01,0,0,0.47,30.3,507.48,0,3.31,6.02,8.35,4.84,2.74,0.73,23.69,0,0,1.07,0,14.4,0,0,25.3,0,0,1.5,24.88,61.28,1.97,72.13
120,0,0,0,0,14.43,5.55,0,9.52,0,0,0,4.42,11.58,0,0,0,11.49,303.93,2.05,0,0,3.17,3.88,13.12,0,25.52,10.24,0,0,0,0,0,0,13.68,0,0,0,10.86,3.33,31.77,43.82
