stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,75.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.11,0,0,0,10.8,0,0,0,0,0,22.67,0,0,0,0,0,0,0,0,111.76,0,0,0,50.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.56,0,0,6.14,0,25.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.14,0,0,0,35.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.44,16.21,10.83,0,11.36,0,0,0,13.88,0,0,0,0,0.86,0,0,2.69,0,6.31,160.48,0,0,6.15,3.8,0,8.87,21.19,1.84,0,12.38,51.88,0,0,0,0
 24-34,0,0,0,10.87,0,0,28.48,0,0,0,5.5,0.66,0,0,0.65,0,0,0.68,13.89,0,5.57,259.82,1.74,2.21,4.93,0,0,7.14,0,0,0,2.07,63.53,0,1.26,0,0
 36-46,0,0,0,4.11,0,0,38.01,0,0,0,14.62,1.31,0,0,0,0,0.65,1.09,12.8,1.32,5.45,258.2,0,4.34,1.38,0,0.77,7.52,0,0,0,0,65.2,0,5.88,0,0
 48-58,0,0,0,0.93,0,0,75.57,0,0,0,26.71,0,0,0.71,0,0,0,0,27.37,3.92,4.35,195.46,0,2.11,0.41,0,0,1.85,0,0,0,0,46.09,0,2.45,0,0.83
 60-70,0,0,0,6.03,0,0,69.57,0,8.39,0,19.6,0,0,0.9,0,1.16,0,0,33.29,2.87,5.26,195.81,0,2.79,3.55,0,0,1.63,0,0.93,0,0,37.67,0,0,0,0
 72-82,0,0,0,3.73,12,0,32.21,0,0,2.71,14.15,0.84,0,0,0,0,1.38,1.33,35.3,4.41,7.41,178.41,2.16,9.92,0,0,0.89,2.61,0,0,0,0,26.78,0,5.53,0,0
 84-94,0,0,0,4.47,6.96,0,37.14,0,0,2.41,10.52,0,0,0,1.72,0,0,0,51.31,0,1.8,85.31,0.62,2.19,8.55,0,0,10.15,0,0,0.63,0,26.12,1.88,2.1,0,2.11
 96-106,0,0,0,7.84,0.68,0,34.68,0.73,0,2.06,17.46,2.09,0,2.28,1.37,0.9,0,1.89,30.7,1.42,4.51,79.2,0.61,0.87,2.76,0,4.27,12.84,0,0,0,0,6.23,0,4.21,1.17,2.76
108-118,0,0,0,10.14,7.46,0.43,20.76,0,0,1.98,20.56,0.43,0,0,1.15,0,5.83,0.72,32.94,2.23,3.78,101.64,0,0,1.88,0,0.76,4.83,0,0.64,0,0,5.8,0,5.75,1.07,2.15
120,0,0,0,10.7,0,0,11.56,0,0,4.31,24.72,0,0,4.89,1.31,2.06,0,0,71.94,0,4.2,112.02,0,0,1.43,0,0,8.18,0,1.62,0,0,31.93,0,0,2.57,0
