stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.64,14.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,28.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,15.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.42,0,0,0,4.28,0,0,0,0,0,0,0,0
 10-12,0,4.34,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.86,0,0,0,3.26,0,5.62,0,0,0,0,0,0
 14-21,0,0,1.13,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.68,0,2.02,0,2.04,0,0,36.75,0,0,0,0,0
 24-34,0,0,0,0,0,1.24,0,0,0,0.97,0,0,0,0,0,0,0,1.13,0.68,0,0,462.37,0,16.16,2.9,0,0.73,0,130.89,0,0,0,0,0
 36-46,0,0,0,0,0,36.95,0,0,0,7.29,0,0,0,0,0,0,0,4.03,0,0,1.75,1656.59,0,15.9,0.78,0,9.37,0,329.81,0,0,0,0,0
 48-58,0,0,0,0.88,0.45,185.69,0,2,0.44,21.6,0,0,0,0,0,0,2.02,11.39,0,0,0,1486.44,0,9.53,0,0,0.68,0,284.8,0,0,0,0,6.34
 60-70,0,0,0.62,6.47,0,385.53,0,0,0,25.73,1.38,0,0,0,0,0,0,1.64,0,0,0,1508.96,8.85,14.61,0,0,2.22,0.62,271.51,0,0,0,0,0
 72-82,0,0,0,7.08,0.58,540.85,4.16,0,6.88,18.95,0,0,0,1.38,0,1.59,0,10.98,0,0,0.68,1780.37,0,17.99,6.04,0,0,0,217.18,1.21,0,2.15,0,0
 84-94,0,0,5.55,3.23,1.92,382.26,0,0.68,1.02,22.19,0,0.78,0,2.14,1.52,0,10.18,15.19,0,2.23,1.31,1028.24,0,10.69,0,0,1.73,0,79.75,0,0,0.97,0,0
 96-106,0,0,2.27,2.51,4.32,326.3,0,0.61,0,18.76,0.89,0,0,0,0,0,0,9.57,0,0,1.23,890.66,0,16.89,1.67,0,3.14,0,42.91,0,0,0,0.96,0
108-118,0,0,0,5.18,0,282.98,1.3,0,1.55,18.28,1.51,0,0,0.42,0,0,0,3.87,0,0,0,1334.03,0.81,13.36,0.54,0,1.12,0,25.1,1.68,0,0,0,2.99
120,0,0,0,20.04,0,172.52,0,2.41,9.33,13.57,0,0,1.99,0,0,0,0,51.61,0,0,0,1873.35,3.33,5.86,0,0,3.23,0,38.83,0,5.78,0,0,0
