stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,35.98,295.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.04,0,0,0,0,0,0,0,0,0
  5-6,41.17,509.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.65,0,10.38,0,0,56.48,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0,0,0,196.17,11.65,0,0,31.93,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.16,4.7,0,15.35,4.9,0,0,0,0,0,36.37,0,0,0,0,0,0,0,0,0,0,509.78,0,0,0,125.41,0,0,26.85,0,54.95,0,0,0,0,0,0
 14-21,0,0,0,5.5,18.9,11.53,0,0,0,1.51,0,0,0,0,0,0,0,0,2.08,0,0,3.64,41.64,0,0,1.29,1.33,0,0,3.71,3.38,0,16.33,7.15,0,0,1.33,0
 24-34,0,0,0,4.37,0,13.97,0,1.67,0.76,0,0,0,0.67,0,0,0,0,0,12.15,1.03,0,3.92,65.03,0,0,0,0,0,2.04,0,0,1.17,2.27,10.6,0,0,21.43,0
 36-46,0,0,0,1.55,0,3.5,0,0,0.63,14.95,0,0,0,0,0,0.62,0,2.63,18.86,0,0,1.9,64.12,0,0.6,7.81,0,0,8.01,0.81,0,0,0,4.73,0,0,0.56,0
 48-58,0,0,0.86,2.43,0,8.56,0,0,0.41,4.5,2.24,0,0,0,0,0.5,0,0,24.27,0,0.4,1.68,29.77,0,1.01,0.9,0,0,5.03,0.98,0,0,0,2.14,0,0,0.57,5.17
 60-70,0,0,0,5.29,0,101.15,0,0,0,17.16,1.07,0,0,0,0.71,0,0,0,29.35,0,2.56,2.56,46.35,0,0,0,0,0,3.42,0,0,0,0,1.34,0,0,0,0
 72-82,0,0,0,7.55,0,201.56,0,0,0.94,3.96,0,0,0,1.95,0,0,0,0,24.37,1,0,2.28,14.72,0,0,0,0,0,0,0,0,0,0,1.02,0,0,1.95,0
 84-94,0,0,0,1.47,0,240.66,0.7,0,0.82,3.27,3.34,0,2.32,6.89,0,0,0,0,17.52,3.02,0,4.73,9.85,0.74,0,3.8,0,0,9.26,0,0,0,0,0,2.82,0,0,2.78
 96-106,0,0,0,5.02,4.65,170.66,0,0,0.84,0,1.35,0,1,0.63,0,0,0,0,15.65,0,0,4.29,5.49,0,0,0,0,0,10.5,0,0,0,0,0,0,2.14,0,0
108-118,0,0,0,1.07,1.48,179.48,0,1.06,0.47,1.77,1.8,0,0,9.17,0,0,0,0,8.58,0,0,1.56,12.21,0,0,0.44,0,7.73,5.97,0,0,0.89,0,0,0,0,0.97,0
120,0,0,0,3.07,13.04,381.34,0,0,0,10.66,0,0,0,2.94,0,0,3.76,1.45,2.09,1.31,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69,0
