stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,42.03,444.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.56,0,0,0,0,0
  5-6,50.01,150.57,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0
  7-9,6.67,0,5.28,0,0,5.19,0,0,0,0,0,0,0,0,76.63,5.14,3.33,0,0,0,0,0
 10-12,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.99,0,0,0,0,0,13.75,0,0,0,0,0,0,0,2.53,0.9,0,0
 24-34,0,0,0,0,0.83,1.46,1.04,0,0,0,58.98,0,0,0,3.81,0,0,0,0,5.57,1.92,0
 36-46,0,0,0,0.59,0,0,0,0,0,0,98.07,0,0,0,11.36,0,2.11,7.49,0,0,8.8,0
 48-58,0,0,0,0,0,7.77,0,0.4,0.72,0,84.85,0,0,0,4.43,0,0,0,0,0.47,14.33,0.93
 60-70,0,0,0,0,0,2.23,0,0,0,0,80.35,0,0.71,0.84,32.66,0,0,0,0,0,8.75,0
 72-82,0,0,0,0,5.64,4.74,0,0,0.73,0,120.86,0,0.53,0,15.96,0,9.67,0,0,1.16,12.46,0
 84-94,0,0,0,0,0.71,5.59,0,0,0,0,167.89,0,0,0,4.38,0,0,0,0,0,11.99,0
 96-106,0,0,0,0,0,13.01,0,0,0.6,0.97,137.05,0,6.57,0,20.6,0,10.01,0,0,0,10.58,0
108-118,0,0,0,0,0.53,4.99,0,0,1.27,0.45,133.44,0.84,6.76,0,18.51,0,0,0,0,0,4.48,0
120,0,0,0,0,20.48,6.54,0,0,0,0,341.49,0,0,0,48.27,0,2.65,0,0,0,27.4,0
