stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,mural.cell,neural,olfactory,otic,spinal.cord,xanthophores
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.34,0,0,0,0
 14-21,0,0,0,0,0,0,1.05,0,0,1.58,0,0,1.44,0
 24-34,0,0,0,0,0,0,0,0.86,0,1.23,6.96,1.55,1.19,0
 36-46,0,0,0,0,0,0,0,0,0,3.03,13.35,0.8,0,0
 48-58,0,0,0.61,0,0,0,2.22,0,0,3.44,3.94,0,0,0
 60-70,0,0,0,0,0,0,0,0.6,0,1.51,7.9,0,0,4.35
 72-82,0,0.98,0,0,0,2.24,0,0,0,2.83,3.57,0,0,0
 84-94,0,0,0,5.77,0,1.61,0,0,0,1.69,30.34,0.71,0,0
 96-106,0,0,0,0,0,0.86,1.07,0,0,4.63,4.22,0,0,0
108-118,0,0,0,0,0.47,0,0,0,1.21,1.87,3.82,0,0,0
