stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.12,0,0,0,0,1.72,0,71.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35
 24-34,0,4.14,0,0.79,0,0,0,0,129.98,0,0,0,0,0,0,0,0,8.02,0,0,0,0,1.68,0,0,2.25,0,30.45
 36-46,0,0,0,2.24,0,0,0,0,219.55,0,0,0,0,3.49,0,0,0,12.17,0,0,0,0,0.89,0,0,1.27,0,168.27
 48-58,0,0,0,0,0,0,2.34,0,239.76,12.59,0,0,0,3.03,0,1.13,1.05,6.18,0,0,0,0,7.85,0,0,9.9,0,221.15
 60-70,0,0,0,2.73,0,0.76,1.68,0,191.01,0,0,0,1.56,9.81,0,0,0,6.56,0,0,0,0,3.48,0,0,7.21,0,450.74
 72-82,0,0,0,0,0,0,0,0,222.18,0,0,0,0,25.27,0,0,0,5.48,0,0,0,2,0,4.75,0,14.3,0,13.79
 84-94,0,0,0,7.27,0,0,0,0,343.37,0.75,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,14.36,0.6,44.88
 96-106,3.31,0,0,6.47,1.69,0,0,1.93,342.88,0,0.79,1.3,0,47.84,0.68,0,0,1.16,0,0,0.78,0,0,0,5.74,13.72,0,8.97
108-118,0.49,2.72,0,4.6,0,0,0,0,357.01,0,0,0,0,48.55,0,1.48,0.52,14.25,0.48,4.08,1.9,0,0,0,0,24.81,0,36.87
120,1.14,0,2.02,0,0,0,0,0,317.25,0,0,0,0,38.55,0,0,0,0,0,0,2.57,0,11.27,0,0,28.79,2.31,0
