stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,274.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.24,255.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.28,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0
  7-9,5.19,0,0,18.97,0,0,37.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.52,3.38,0,0,74.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.14,0,5.34,0,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334.54,26.78,0,0,117.77,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.46,60.31,4.82,25,0,0,0,6.87,1.94,0,0,0,2.13,0,0.93,0,15.06,0,0,17.14,203.42,0.84,1.1,2.78,8.74,0,2.88,37.55,1.28,43.38,79.47,0,0,1.71,0
 24-34,0,0,0,4.33,27.08,0,34.28,0,2.07,0,13.41,0.59,0,0.69,0,1.21,0,2.92,0,20.54,0,0,11.95,315.92,0.83,7.55,12.97,0,0,12,3.08,2.04,12.64,74.93,0,0,13.38,0
 36-46,0,0,0,0,5.63,0,26.74,0.79,4.09,0.75,10.05,1.22,0,0,0,0,0,0,0,13.33,0,0.86,0.59,124.97,0,2.26,5.76,0,0,12.95,0,1.33,0,26.78,0,0,7.17,0
 48-58,0,0,0,0,16.03,0,34.29,1.97,8.63,1.09,8.59,1.77,0,0,0,0,0,0,0,13.26,0.82,1.93,4.89,50.92,0,0.48,0.87,0,0,17.33,0,0,0,17.03,0,0,2.7,0.89
 60-70,0,0,4.68,0,10.38,0,32.39,0,1.21,0,19.23,1.74,0,0,5.63,0,6.49,2.15,1.51,13.28,0,2.45,6.84,46.23,2.19,1.22,0.91,0,0,5.05,0,0,0,5.63,0,0,0,0
 72-82,0,0,0.69,0,12.9,2.59,43.6,0.51,3.98,6.74,22.2,3.57,0.52,0.75,4.87,0,0,3.47,2.81,40.92,0,0,2.44,43.58,0,3.82,6.04,0,0,14.16,0,0,0,3.81,1.01,5.32,4.61,0
 84-94,0,0,0,0,9.49,1.99,13.27,0,0.74,0,4.79,1.62,0,1.46,0.62,0.82,0.76,0,6.85,13.27,0,1.06,3.43,8.69,0,1.31,1.73,0,0,9.65,0,0,0,0.81,0,0,4.24,0
 96-106,0,0,1.08,0,7.89,3.77,12.87,0,0.63,0,5.01,1.24,0,0,2.17,1.41,5.75,0,1.06,11.93,1.94,0.59,0.76,13.21,0,4.11,5.43,0,0,10.72,0,2,0,0,0.83,0.77,3.44,0
108-118,0,0,0,0,12.11,0.48,8.67,0,1.23,1.02,1.9,1.23,0,0,2.14,0.46,2.8,0.65,0.7,10.62,2.96,0,0,21.26,1.88,3.58,1.21,0,2.78,5.95,0,0,0,6.54,0.84,0,3.27,0
120,0,0,1.43,0,17.96,7.51,6.23,0,0,0,3.82,3.47,0,0,2.9,1.05,0,0,2.27,2.92,1.65,0,5.63,37.07,0,0,0,0,6.29,13.04,0,1.22,0,19.45,0,0,0,0
