stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.74,909.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.01,0,0,0,0,0,0,0,0
  5-6,36.14,649.2,0,0,0,0,0,0,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,39.85,0,0,0,0,0,26.49,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,39.52,7.1,0,0,4.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.43,4.64,0,0,4.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,1.32,0,1.59,0,0,0,4.7,0,0,0,0,0,0,0,4.83,0,0.9,21.68,0,0,0,0,0,0,0.9,0,0,10.46,0,0.89,0,0
 24-34,0,0,0,0,0.86,0,0,6.42,0,0,0.62,6.25,0,0,0,0,0,0,0,2.64,0,2.49,118.04,0,2.3,0,0,0,0.67,0,1.13,2.26,16.47,0,3.38,0,0.81
 36-46,0,0,0,0,0,0,0,11.54,0,0,0,3.51,0,0,0,0,0,0,0,7.73,0,0.73,218.8,0,9.14,0,0,0,0,0,0,0,42.72,0,0,0,0
 48-58,0,0,0,0,0.7,0,0,22.54,0,0,0,7.23,0,0,0,0,0,0,0.65,9.17,0,0.61,210.7,0,13.78,0,0,0,0.57,0,0,0,50.99,0,0.49,0,0
 60-70,0,0,0,0,1.25,0,0,45.26,0,0,2.5,19.81,0,0,0,0,0,0,0,6.67,2.35,0.67,256.97,0,1.02,0,0,0,0,0,0,0,54.84,0,0,0,0
 72-82,0,0,0,0,0,0,0,50.68,0,0,0,15.82,0,0,0,0.61,0.63,0,4.32,10.65,0,0,279.25,0.57,2.92,1.66,0,0,2.44,0,0,0,11.07,0,0.99,2.32,0
 84-94,0,0,0,0,2.12,1.03,0,13.58,0,0.66,0,13.31,0,0,0,0,0.89,0,0.9,5.93,0.94,0,171.32,0.72,0,0,0,0,0,0,0,0,26,0,2.46,0,0
 96-106,0,0,1.37,0,0,0,0,30.47,0,0.6,0,18.44,0,0,0,0,0,0,0.58,7.27,0.93,1.67,133.13,0,2.35,0,0,2.17,6.03,0,0,0,13.45,0,1.33,0,0
108-118,0,0,0,0,2.23,0,0.92,17.67,0,2.95,0,12.71,0.81,0,0,0.61,0.67,0.42,0,11.63,0,0,170.53,1.58,2.92,1.28,0,1.22,0.54,0,0,0,3.69,0,1.19,1.13,0
120,0,0,0,0,0,0,0,38.85,2.98,0,0,14.81,0,0,2.11,0,0,0,2.85,16.18,0,0,255.24,0,0,0,0,0,2.48,0,0,0,23.8,3.38,5.98,0,0
