stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0
  5-6,7.37,66.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.28,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.42,3.34,0,0,31.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.13,13.44,0,0,49.66,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,25.2,17,0,2.03,0,0,0,4.19,0.82,1.08,0,0,0,0.87,0,0,0,6.28,0,8.46,100.17,1.25,1.77,2.5,1.12,0,0,13.35,1.22,5.11,7.65,46.79,0,0,2.89,0,9.09
 24-34,0,0,0,0,8.22,0,0,7.31,0,0,0,4.15,0,0,0,0,0,0,0.91,0,2.43,5.78,0,3.37,89.06,0,1.56,0,0,0,0.93,0.71,1.34,3.38,0.71,38.45,0,0,20.18,0,2.2
 36-46,0,0,0,0,7.62,0,0,12.65,2.54,2.59,1.41,6.54,0,0,1.99,0,1.21,0.74,0.65,0,4.08,17.61,0.71,3.14,130.04,0,1.39,1.46,0,0,4.84,0,2.63,0,0,42.11,0,0,2.82,0,2.56
 48-58,0,0,0,0,3.98,0,0,14.79,0.38,2.05,0.53,12.18,0.56,0,0,0,0,0.76,0,0,11.07,14.46,0,1.92,93.81,1,0.97,0,0,0,0.39,0,1.52,0.93,0,19.06,0,0,3.9,0,10.97
 60-70,0,0,0,0,8.16,0,0,67.03,0,1.85,1.24,27.54,0.62,0,10.81,0,0,8.02,0,0,1.83,19.48,15.1,4.32,135.47,0.65,2.04,0.94,0,0,1.86,0,0,0,0,35.81,0,1,2.76,0,16.17
 72-82,0,0,0,0,5.51,1.7,0,85.64,0.58,0.56,1.61,73.69,0,0,1.42,1.33,0,5.15,3.77,0,0,58.06,3.74,4.13,188.64,2.07,3.53,2.45,0,0,1.88,0,0,1.69,0,22.73,0,1.04,3.19,2.03,4.6
 84-94,0,0,7.23,0,5.96,13.6,0,89.45,0,0,3.23,61.45,0,0,1.66,5.66,2.48,6.29,2.28,0,1.56,65.06,4.34,2.41,107.15,0,3.62,3.14,0,0.77,3.59,0,0,0.59,0,9.08,0,1.83,13.21,1.23,1.92
 96-106,0,0,0,0,20.37,13.74,0,88.91,0,6.98,4.08,77.47,1.49,0,0,9.67,2.47,5.16,1.85,0,1.77,47.86,4.06,3.09,74.2,0,2.92,7.98,0,3.04,5.3,0,0,0,0,13.91,0,0,4.82,1.97,5.79
108-118,0,0,0.91,0,10.57,3.59,0.47,81.53,0.55,9.09,1.96,63.04,0.41,0,0,9.69,0.5,4.05,0.63,2.52,2.54,61.72,0,5.41,182.88,0.81,3.3,5.09,0,2.46,1.08,0,1.36,0,0,1.4,2.39,2.9,3.79,0.7,12.92
120,0,0,0,0,19.96,0,0,34.07,0,15.62,0,90.79,0,0,5.1,22.64,0,0,1.54,5.51,3.49,64.3,0,2.2,399.46,7.31,24.83,12.11,0,5.43,1.3,0,0,0,0,1.34,0,6.19,3.09,0,2.33
