stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,224.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.11,181.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.82,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.33,0,0,0,15,0,0,0,26.78,0,0,0,0,0,0,0
 14-21,0,0,1.13,0,6.69,6.86,2.67,0,0,3.08,0,0,0,2.61,0,0,0,0,0,0,0,23.95,1.58,1,0,0,0,0,1.29,6.35,0,0.99,9.43,0,0,1.09,0
 24-34,0,0,0,1.44,3.64,0.62,6.24,0,0,3.82,2.05,0,0.9,22.78,0,1.22,0,2.09,0.67,0,0,89.47,0,5.18,0,0,0,1.53,0,14,1.98,0,12.01,0,0,10.89,0
 36-46,0,0,0,0,1.97,0,31.47,0.58,0,11.33,0,4.68,2.41,4.7,1.76,1.42,1.55,5.07,0.79,0,0.82,145.84,0,28.65,2.71,0,0,9.12,0,11.98,8.03,0,29.97,0,0,0.58,0
 48-58,0,0,0,0,1.66,0,30.03,0,0,3.05,0,0,3.16,1.28,0,0.41,8.79,2.11,0,0,4.8,58.32,0,8.63,0.38,0,0,1,0,3.83,4.71,0,9.38,0,0,0.46,0
 60-70,0,0,0,0,0,0,89.83,0.58,0,13.69,1.2,1.47,6.52,0,0,2.25,1.05,6.76,0,0,1.71,83.68,0,12.77,0.63,0,2.18,0,0,1.3,0,0,4.18,0,0,1.04,0
 72-82,0,0,0,0,0,0,63.98,0.59,0,4.5,2.46,0,4.27,0.55,0,0.82,1.19,5.5,0.52,0,0.52,38.04,0,6.5,1.74,0,0,0,0,3.95,0,0,7.46,0,0,3.95,0
 84-94,0,0,1.2,0,0.67,0,43.87,0,0,4.99,5.04,0,2.09,4.63,0,0.71,0,1.05,0,1.23,1.21,16.36,0,4.73,2.34,0,0,0,0,0.67,0.6,0,0,2.61,0,3.75,3.73
 96-106,0,0,1.43,2.06,4.6,4.98,84.41,0,0,3.56,6.84,0,5.35,2.65,0,0,4.81,0,0,0.78,0,37.59,0,10.5,5.86,0,0,0.71,0,1.43,0,0,2.31,0,1.22,9.11,0
108-118,0,0,0,0,3.96,2.27,48.94,0,0,15.01,14.91,2.49,10.38,5.81,0,0.42,7.17,4.3,0,0,3.19,26.72,0,13.4,3.47,0,2.43,1.73,0,2.28,1.09,0,1.33,0.67,0,0.78,0
120,0,0,2.52,0,9.18,2.28,6.18,1.18,4.11,5.68,9.6,0,16.75,0,0,0,0,13.73,0,0,0,46.85,0,34.44,12.55,0,0,1.69,0,7.15,0,0,1.53,2.06,0,8.98,0
