stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,11.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,128.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.01,0,14.07,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04,0,6.07,0,0,0,0,0,0
 14-21,0,0,0,3.62,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,1.13,0,0,0
 24-34,0,0,0,0,0.79,8.94,0,0,0,0,0,0.64,0,0,1.57,0,0,5.66,1.36,0,0,0,0,0.71,0,0
 36-46,0,0,0,0,0,44.96,0,0,0,0,0,0,0,0,2.51,0,0,12.13,0,0,0,0.81,0,2.75,0,0
 48-58,0,0,0.44,1.21,5.37,272.58,0,0,0,0,0,0,0,0,0.41,0,0.4,25.95,0,0,0,0,0,0.92,0,0
 60-70,0,0,0,2.62,3.58,997.57,0,0,0,0,0.65,0,8.58,0,0,0,0,51.84,1.17,0,0.6,0,0,0,0,0
 72-82,0,0,0,1.03,24.49,832,0,3.61,1.54,0,0,0,0,0,1.3,0,0.58,31.43,1.21,0,0,0,0,0,0,1.02
 84-94,0,0,0,0.94,12.06,739.98,0,0,9.51,0,0,0,0,1.05,5.1,4.11,0,19.03,0,0,4.11,0,0,1.74,2.16,1.7
 96-106,0,0,0,3.41,25.63,502.21,0,0,0.76,0,0,0,5.73,0,0,0,0,19.95,0,0,0,0,0,1.54,1.15,0
108-118,0,0,0,3.82,5.2,494.81,1.06,0,1.34,0.62,0,0,0,0,11.68,0,0,22.73,3.52,0,5.14,0,0,1.03,0,0
120,0,0,0,2.22,3.27,376.23,0,0,3.86,0,0,0,0,0,0,0,1.42,10.96,0,0,0,0,0,0,0,0
