stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2.88,0,1.08,0,0,0,0,0,0,0,0,0.86,0,0,2.53,0.94,1.05,0,0.91,6.39,0,0,0,0,0
 24-34,0.64,0,0,0.75,0,0,0,0,0,0,0,0,0,0.71,12.13,0,0,0,0,5.46,0,0,9.82,0,0
 36-46,0,0,1.38,0,1.09,0,0,0,1.23,0,0,0.97,7.97,0,21.24,0,0,0,0,6.25,0,0,1.95,0,0
 48-58,2.16,0,1.18,0,1.04,0,2.77,0.47,0,0,1.66,0.45,1.71,0,28.49,0,0,0,0,3.4,0,0,0.66,0,0.48
 60-70,0,0,9.53,0,0.82,0,0,2.37,0,0,0,0,0,0,60.46,0,0,0,0,3.06,0,0,2.56,0,0
 72-82,0,23.24,4.18,0,2.17,0,1.08,3.09,3.64,0,0.5,0.98,0,0.82,45.95,0,0,0,0,4.1,0,0,0,0,0.99
 84-94,0.76,18.9,3.56,1.04,0,0,0,6.09,14.62,0.76,0.96,9.11,0,0,42.72,0,0,1.11,0,14.62,0,0,0,0,0
 96-106,2.51,29.06,4.78,3.26,6.41,0,0,6.24,12.86,0.57,0,7.07,0,0,21.82,0,0,0,0,0,0,3.23,0,0,0
108-118,2.16,7.95,4.53,1.11,1.73,0,0,9.47,10.19,0,0,2.57,0.51,0,66.78,0,0,0,0,0,8.45,0,8.72,0,0
120,3.02,11.23,17.91,0,0,8.33,0,25.79,10.17,1.91,0,8.61,0,0,158.14,0,0,2.37,0,12.5,4.18,0,4.56,7.37,0
