stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.58,389.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.95,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.07,600.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.34,0,0,0,9.77,0,17.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,34.63,0,25.28,0,0,0,20.98,0,0,0,0,59.98,0,0,0,0,0,0,0,0,0,0,0,324.82,38.06,0,0,90.39,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.71,0,17.84,0,0,0,26.02,0,0,0,0,219.88,0,0,0,0,0,0,0,0,0,0,0,288.95,80.4,0,0,141.71,0,0,0,0,18.35,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,0,8.25,5.27,0,4.2,0.87,0,2.98,1.03,11.97,0.81,0,0,0,0,0,0,11.56,0,0,9.15,99.11,26.34,2.39,0,0,0,0,0,6.77,0,0,7.57,38.23,0,0,5.45,0,0
 24-34,0,0,0.71,0.59,4.98,0,0,8.45,0.71,0.68,4.29,1.27,1.95,1.21,0.61,0.65,1.17,0,0,8.29,43.85,2.04,0,13.47,190.92,7.95,3.07,1.14,0,0,0.63,0,0,0,0.63,1.37,48.51,0,0,16.29,0,2.64
 36-46,0,0,0.95,0.84,11.85,0,0,30.8,0,0,6.77,0,6.48,0,0,0,0,0,0,1.57,81.69,0.58,3.18,14.47,296.48,8.84,2.71,0.72,0,0,0,0,0,0,0,0,66.42,0,0,23.47,0,10.22
 48-58,0,0,0,0,0.79,0,0,40.82,0,1.71,7.87,0,24.49,2.15,0,3.89,0,0.88,1.02,4.58,84.08,4.32,3.18,12.34,177.86,17.15,1.57,0,0,0,0,0,0,0,0,0,32.12,0,0.42,10.45,0.5,0
 60-70,0,0,1.4,0,17.31,0,0,25.26,1.42,0.86,17.31,5.35,16.33,0.76,0.65,0,0,0,0,5.58,107.91,2.99,10.2,7.78,103.82,3.77,0,1.72,0,6.8,0,0,0,0,0,0,12.71,0,6.73,8.86,0,7.32
 72-82,0,0,0.68,0,5.53,1.33,0,66.96,0,0.67,20.99,6.06,6.48,2.93,1.79,0.53,0,2.2,0,11.5,119.16,4.43,11.77,6.38,144.13,10.2,0,0.62,0,2.98,0,0,0,0,0,0,10.57,0.74,9.31,8.45,4.02,5.65
 84-94,0,0,0.66,0,9.92,0,0,75.86,0,4.84,25.34,0,22.73,4.49,3.62,0,2.18,0,0,32.89,140.71,1.27,5.93,19.18,161.55,4.45,0,0.79,0,0,0,0,0,0,0,0,0.9,0.6,6.79,12.15,11.13,0
 96-106,0,0,0.83,0,5,0,2.87,62.6,0.59,3.82,12.44,3.58,3.18,2.91,3.84,0,0,0,0,10.08,130.09,2.92,3.64,4.54,97.29,0.91,0.71,0,0,1.92,0,0,0,0,0,0,20.66,0,7.55,9.09,11.69,0
108-118,0,0,0.94,0,2.65,0,6.98,35.16,0,1.3,6.65,0,0,4.74,8.37,0.47,2.15,0,0,5.73,96.03,9.88,2.64,2.25,133.63,0.77,0.48,0.43,0,8.01,0,0,0,0,0,0,8.15,0,5.74,11.22,7.88,2.83
120,0,0,0,0,2.83,0,2.35,26.05,0,2.94,12.29,0,0,5.19,6.38,0,5.05,0,1.47,0,113.98,10.74,10.89,15.57,109.53,1.32,0,3.46,0,19.53,0,0,0,0,0,0,0,0,2.93,21.69,15.4,0
