stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,27.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.79,0,0,0,0,0,0,0,0,0
 14-21,0,1.85,0,0,0,0,0,0,0,0,0,0,1.08,0,0,3.36,0,0,0,0,0,1.22,0,0,0
 24-34,0,0.82,0,0.76,0,0,0,0,0,0,0,0,4.09,0,0,5.38,0,0.82,0,0,0,0.79,0,0,3.29
 36-46,0,0,0,0,0,0.86,0,0,0,0,0,0,1.28,0.85,0.6,37.52,1.46,1.46,0,0.67,0,5.48,0,0,0.81
 48-58,0,0,0,2.21,0,3.7,0,0.85,0,0,0,0.48,0.89,0,0.42,57.68,0,4.97,0,0,0,1.7,0,0,1.55
 60-70,0,0,0,93.58,0,13.92,0,1.61,0,0,0,0,1.56,0,0,122.18,0,3.5,0,0,0,11.66,0,0,2.33
 72-82,0,0,0,115.64,0.54,13.7,0.66,0,0,0,0,0,12.29,0,0.94,155,1.5,2.76,0,0,0,0,0,0,0
 84-94,0,6.65,0,92.95,0,13.62,0,1.75,0,0,0,1.36,15.15,0,0.6,167.17,0,2.39,4.59,0,0,12.44,0,3.63,0
 96-106,0,1.62,0,217.48,0.76,9.02,0,3.12,0,0,4.24,0,17.27,0,0,116.44,0.7,2.16,2.14,0,0,0,0,0,1.21
108-118,0,0.46,1.67,143.24,2.03,5.38,0,2.17,0,0.49,2.45,0,10.7,0,1.46,177.91,4.81,5.49,0,0,0.8,3.51,3.84,0,0.85
120,0,16.45,0,67.34,0,33.55,0,7.07,11.11,0,4.18,1.64,17.17,0,0,231.63,4.59,10.66,0,0,0,10.4,0,0,0
