stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,39.37,547.7,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0,0,0,0,0
  5-6,47.82,755.23,0,0,0,0,0,0,0,0,0,0,7.71,0,0,9.57,0,0,0,0,0
  7-9,0,0,14.3,0,0,0,0,0,6.49,0,0,0,89.12,10.25,37.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,1.21,0,4.84,0,0.61,0
 36-46,0,0,0,0,0,0,1.07,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.01,0,1.44,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.82,0.79,1.46,0,0,0.58,0,3.37,2.17,0,0,0,0,0,1.53,0,0
 72-82,0,0,0,0,2.08,0,0.95,0,0,0,0,0,4.43,0,0,0,0.57,0,11.82,0,0
 84-94,0,0,0,0,1.63,0,0,0,0,0,2.12,0,2.16,0,0,0.77,0,0,40,0,0
 96-106,0,0,0,2.02,1.42,0,3.83,0,0,2.91,4.04,1.21,3.83,1.13,0,0,0,7.72,192.02,0,3.69
108-118,0,0,0,0,3.86,1.89,5.31,1.11,0,0,1.46,0,0,0,0,0,0,0,280.65,0,0
120,0,0,0,0,0,0,0,0,0,0,11.12,0,0,0,0,0,0,0,98.77,0,0
