stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0
  5-6,0,50.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,5.83,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,0,0,0,0
 24-34,0,0,1.33,0,0,0,0.98,1.28,0,0,0,0,0,0,25.18,3.02,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0.85,0,1.72,0,0,0,0,0,0,0,75.17,11.17,0,0,1.03,3.04,0,0,0
 48-58,0,0,0,0,0.76,0,4.3,0,3.37,0,0,0.41,0,0,86.62,6.72,0,0,0,2.03,0,0,0
 60-70,0,0,0,0,8.24,0,5.38,2.01,0,0,0,2.31,0,8.86,96.86,14.86,0,0,0,2.3,0,0,0
 72-82,0,0,1.28,0,21.14,0,123.26,1.45,0,0,0,1.34,0,0,247.59,16.26,0,0,0,2.52,0,0,0
 84-94,0,0,1.95,0,24.33,0,66.14,0,0,0,3.33,0,0,0,152.51,9.87,0,0.82,0,0,0,1.91,0
 96-106,0,0,0,0.73,16.16,0,225.01,2.53,0.63,0,0,0,0,0,137.9,37.76,0,1.73,0,0,0,0,0
108-118,0,0,0,0,7.89,0,256.27,0,0,2.36,0.56,3.92,1.23,0,245.09,13.14,0,0,0,0,0.55,0,0.5
120,0,0,4.34,14.14,13.26,4.4,110.12,0,0,0,0,0,0,0,395.94,24.1,0,0,0,0,0,0,0
