stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.74,0,0,0,0.86,6.47,0,0,0,0,0,10.3,0,1.47,0,0,0,8.75,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0
 60-70,0,0,0,0,0,7.08,0,0,0,1.55,17.17,0,0,0,0,0,74.42,0,0,0,0,0,16.46,0,0,0,0,0,0,0,0,1.54,0,0,0,1.92,0
 72-82,0,1.38,1.66,0.58,0,27.02,0,0,2.2,11.44,147.3,0,2.2,0,4.18,0,533.23,0,21.05,0,0,0,103.97,0,0.97,1.26,0,2.41,0,0,0,4.67,0,0,5.03,0.76,2.09
 84-94,0,0,12.81,1.53,1.09,47.96,0,0.64,0,10.82,240.54,0,0,0,1.05,0,1582.98,0,17.24,0,0,0,86.9,0,0,1.39,0,5.62,0,0,0,0,0,0,3.43,0.77,0
 96-106,0,1.53,24.85,32.3,1.07,161.67,0,1.54,6.08,48.87,470.48,4.71,4.96,3.21,0,0,3055.13,6.45,63.5,3.96,2.83,12.05,531.3,0,4.59,0,0,40.43,0,1.48,0,3.25,6.33,0.58,11.34,0.69,0
108-118,0,0,13.17,7.81,15.92,84.29,0,3.63,2.71,28.9,441.94,0.56,1.87,2.18,4.95,2.64,6291.61,0,56,4.1,5.07,1.28,401.33,3.64,3.9,3.65,0.76,11.94,2.42,0,0,1.49,8.23,0,5.18,3.88,1.09
120,0,0,8.23,2.15,0,62.88,1.66,3.21,0,34.22,356.82,0,0,0,0,0,2961.37,0,40.02,0,1.83,2.96,297.9,0,1.62,0,0,26.73,0,0,0,0,0,0,0,0,0
