stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,6.16,71.93,4.12,16.66,0,1,0,9.31,0,7.46,2.74,0,1.93,0,0,0,0.94,24.47,0,0,18.54,346.34,5.89,1.37,1.59,6.94,16.98,24.61,0.9,2.43,16.59,90.46,0,2.33,0,0
 24-34,0,1.34,9.02,1.31,66.66,0,0,0,13.58,0,0.67,0,0,0.62,1.26,0,7.16,1.29,45.29,0.76,0,11.86,656.44,2.82,3.3,4.87,0,16.04,0,5.25,0,5.98,121.17,0,3.85,0,0
 36-46,0,0.56,6.67,2.37,165.87,1.89,0,0,9.25,0,0,0,0,0,0,0,0,8.22,33.75,0,0,6.14,506.95,0.95,2.39,2.78,0,7.79,0,0,0,0,77.74,0,13.41,0,0
 48-58,0.77,0,2.08,7.49,264.62,0,1.13,0.59,19.52,0,0,0,0,0,0,1.93,1.59,0,33.07,0,7.44,1.75,319.92,7.28,0,0.59,0,2.66,0,0,0,0,27.46,0,2.21,0,0.45
 60-70,0,0,9.87,4.64,227.57,0,0,0,12.66,0,5.24,0,0,0,0,0,0,0,25.03,0,1.52,3.41,189.24,0,0.6,1.82,0,2.04,0,0,0.67,0,13.31,0,0,0,4.87
 72-82,0,0,2.23,1.97,49.63,0,0,1.58,9.61,1.62,0,0,0,0,0,1.17,0,0,16,0,0,1.48,91.75,0.51,0,1.59,0,0,0,0,0,0,4.55,0,1.52,0,5.89
 84-94,0,0,5.84,0,41.52,0,0.56,2.16,4.3,0,0,0,0.87,1,0,0,3.21,0,14.22,0,5.77,3.1,76.66,2.21,0.8,4.23,0,1.04,0,0,0,0,3.44,1.17,0,0,4.41
 96-106,0,0,1.37,0,51.17,0,1.4,0,8.42,2.72,0,0,2.5,0,0,0,5.65,0,8.78,0,2.52,0.57,50.09,0,1.63,0.65,0,1.89,0,0,0,0,0,0,0,1.35,0
108-118,0,0,0,1.55,37.93,0,0,1.89,11.51,0.42,0,0,1.55,0,0,0,0.91,0,18.02,0,0.98,1.15,83.39,0,0,0,0,4.72,0,0,0,0,0,0,1.21,0,0
120,0,0,0,0,83.06,0,0,0,5.62,0,0,0,0,1.36,0,0,0,0,5.82,0,0,3.46,171.4,0,0,3.28,0,0,0,0,0,0,0,0,1.23,14.75,0
