stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,55.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.78,0,0,12.93,0,0,0,0,0,0,0
 10-12,20.14,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,80.23,4.29,0,22.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.41,0,0,0,0,0,0,0,2.03,0,0,75.93,0,0,5.88,0,2.03,43.09,0,0,0,0
 24-34,0,0,0,0,3.94,0,2.89,11.42,0,0,0,0,1.56,0,0.6,90.12,0,0,0,0,6.95,27.01,0,0,0,6.82
 36-46,0,0,3.66,0,1.1,0,8.42,22.53,0,0,0,0,7.44,0,3.89,80.46,0,0,0,0,0,12.36,0,0,3.26,4.39
 48-58,1.29,0,0,0,28.37,0,11.16,82.09,0,0,0,0,6.79,0,0.58,90.66,0,0.63,0,0,0,11.52,0,0,1.87,0
 60-70,0,0,0.64,0,26.4,0,16.23,246.36,0,0,0,0,11.01,0,0.77,215.71,0,0,0,2.92,0,7.2,0,0,0,0
 72-82,0,0,0,3.29,23.01,0.94,26.49,335.7,0,0,0,0,17.45,1.08,0,289.21,0,0,0,1.16,0,11.13,0,0,1.32,0
 84-94,0,0,4.95,0,16.4,0,16.95,262.13,0,0,0.65,0,42.93,0,0,151.97,0,0,0,0,0,12.93,0,0,0.57,0
 96-106,0,0,6.64,0,35.71,0,16.43,286.28,0.97,1.14,0,6.87,45.23,0,0,137.39,0,0,0,1.05,0,4.33,1.68,0,0,0
108-118,0,0,2.86,1.98,18.37,0,7.04,243.91,0,0,0,0,51.43,0.69,0,235.17,0,0.86,0,2.45,0,12.31,0,0.9,0.64,0
120,0,0,5.03,0,41.43,6.2,6.64,323.1,0,0,0,0,15.57,0,0,131.67,0,0,0,0,0,25.89,0,0,0,0
