stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,122.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
  5-6,147.13,0,0,0,0,0,0,0,0,0,0,22.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.43,7.17,0,0,11.97,0,0,0,0,0,0,0,0,0,0
 10-12,19.45,0,22.36,0,0,0,35.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.13,0,0,0,32.31,0,0,0,7.44,0,6.57,0,0,0,0
 14-21,0,0,1.9,12.28,0,0,2.55,0,0,1.4,1.28,0,0,0,0,0,0,0,3.66,0,0,3.1,47.22,0,1.37,0,0.95,0,5.58,0.99,13.71,6.58,14.54,0,0,2.95,0
 24-34,0,0,0,5.44,0,0,9.37,2.36,1.02,1.4,0.71,0,0,0,0,0,0,0,4.12,0,0,2.15,96.98,0.68,2.01,3.32,0,0,7,0,3.74,0,24.78,0,0,0,3.67
 36-46,0,0,0,1.5,0,0,19.22,0,0.93,5.01,0,0,0,1.12,0,0,0,0,3.11,0,0.72,2.34,65.88,0,0,0,0,0,24.18,0,4.68,0,14,0,0,0,0.68
 48-58,0,0,0,2.84,0,0,33.54,0,0,8.27,0,0,0,6.78,0,0,0.39,0.48,10.8,0.41,0.42,2.06,70,0.45,0.58,1.31,0,0,4.67,0,0,0,12.82,0,0,1.32,1.31
 60-70,0,0.86,0,1.53,0,0,25.75,0,0.72,8.9,0,0,3.71,0,0,1.96,0,0,5.63,3.03,0,0.72,55.51,0,3.21,4.73,0,2.33,2.75,0,0,0,3.97,0,0.6,1.91,9.97
 72-82,0,0,0,0.54,1.33,0,29.94,0,0,5.75,0,0,0,0.74,0,0,0,0,8.47,0,11.11,1.01,43.77,0,4.06,0,0,0,1.54,0,2.51,0,5.06,0,0,1.29,0
 84-94,0,0,0,3.55,0,0,11.76,0,0,3.19,0.73,0,0,0,1.29,0,0.56,0,7.47,0,1.43,0,37.11,0,1.05,0.88,0,0,8.65,0,2.65,0,0,0,0,3.74,0
 96-106,0,0.61,0,2.8,0,0,8.31,0,0,11.38,1.52,0,1.42,1.66,0,0,1.58,0,15.75,0,0,4.22,31.84,0,5.62,0,0,0,7.83,0,0,0,0.6,0,0,3.22,0
108-118,0,0.77,0,2.45,0,0.61,12,0,0.59,3.94,5.04,0,1.25,0,1.98,0.44,1.46,0,10.92,0.53,0,1.52,27.52,0,5.46,0.43,0,0,3.44,0,0,0,0,0,0,1.09,0
120,0,0,0,4.44,0,0,8.84,0,0,29.38,1.28,0,5.71,2.02,1.59,0,3.92,0,21.29,0,17.45,1.58,33.86,6.22,6.39,0,0,2.03,2.36,0,0,0,13.11,1.63,0,4.65,0
