stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0,1.68,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,4.43,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0.56,0,1.98,0,0.79,0,0,0,0,0,0
 60-70,0,0,0.57,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0
 72-82,0,0,0,0,13.41,0,0,0,2.07,0,0.75,0.78,0.87,2.01,1.93,0,15.88,0,2.08,0,0.51,0.64,0,0,2.43
 84-94,0,0,2.57,0,0,0.91,1.65,0.94,0,0,0,0,0,2.55,4.15,0,10.93,0,5.65,2.18,9.1,0,0,3.74,0.83
 96-106,0,0,0,0.66,12.78,0,2.64,0,0,0.9,1.73,0,0,0,0.81,0.76,13.78,0,0,0,3.58,0,3.59,1.22,1.01
108-118,0.91,1.23,1.93,0,0,0,8.9,3.73,0,0,0,1.01,0,2.91,5.13,0,2.9,0.54,2.67,0,0.42,0,0,0.97,0
120,0,2.26,12.13,0,0,0,0,3.16,0,9.93,1.63,0,0,0,1.12,0,25.51,0,5.63,0,3.05,0,2.14,1.24,0
