stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0
  7-9,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,8.8,0,0,0,0,0,0
 14-21,0,6.23,0,0,0,0,0,0,0,0.81,0,2.88,0,0.84,0.84,0,0,1.02,0.92,1.9,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,1.4,0,0,0,5.44,0,0,10.62,0,0,0
 36-46,0,1.46,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,26.2,0,0.56,0
 48-58,0,1.43,0,1.15,0,0,0,0,0,0,0,1.85,0,0,19.82,0,0,15.53,0,0,0
 60-70,0,0.71,0,4.42,0,1.61,0,0,2.38,0,0,0.75,0,0,15,0,0,28.76,0,0,0
 72-82,0,0.77,0,1.87,0,3.74,0.51,0,5.79,0,3.19,12.19,2.18,0,15.12,0.67,0.91,13.66,0,8.03,0
 84-94,0,3.68,0,6.38,0,7.77,3.3,0,0.77,0,0,6.42,0,0,9.38,0,0,14.62,0,4.34,0
 96-106,0,1.41,0,4.46,1,2.76,4.12,0,0.83,0,0,7.45,1.9,0,24.37,0,0.6,10.69,0,0,0
108-118,0,2.17,0.9,0,0.59,0,4.84,0,3.4,0.41,0,7.24,0,0,18.2,0,0,10.8,0,0,1.22
120,0,21.21,2.28,4.21,1.65,0,2.4,0,0,0,10.16,22.88,0,0,25.97,0,0,22,0,0,0
