stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.42,295.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,315.15,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,18.85,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,8.77,0,3.5,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.16,23.86,0,0,10.46,0,0,4.8,0,3.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,131.32,0,1.83,0,0,0,0,2.21,0,0,0.86,0,0,5.49,0,33.88,0,0,18.46,50.07,16.07,0,0,0.8,0,0,2.19,8.08,0,2.99,31.07,0,0,0,0,3.36
 24-34,0,0,0.75,3.26,6.51,0,3.49,0,0,0,0.64,2.9,0,0,0,0,0.66,3.12,1.26,29.11,0,0,9.96,219.83,5.56,0.76,7.58,0,0,0,0,0,0,0.64,74.85,0,0,2.54,0,6.9
 36-46,0,0,0,0,0,0,4.54,0,0,0,14.97,0,1.33,0,0,0,0,0,0,44.73,0,0,0.72,563.18,0,0.56,7.25,0,0,0,0.74,0,0,0,103.25,0,0,0,0,7.14
 48-58,0,0,0,0,3.14,0,150.42,0,0,2.75,68.55,0,0.77,4.34,0,0,0,0,0,53.06,0,0,2.71,985.53,2.07,1.04,8.31,0,0,0.42,0,0,0,0,163.87,0,0,1.73,0,7.03
 60-70,0,0,0.7,0,5.03,0,582.04,0,0,0,87.86,0,5.83,0,0,0,0,0,0,77.76,0,0,0,1414.4,0,0,6.51,0,0,7.33,0,0,0,0,355.71,0,1.79,0,0.89,20.69
 72-82,0,0,0,0,1.85,0.55,843.5,0,0,2.63,139.15,1.05,0.66,0.94,0,0.76,1.04,0,0,122.67,0,0,0,1891.33,0,0,8,0,0,0,0,0,0,0,174.03,0,0,0,0,4.22
 84-94,0,0,0,0,8.06,5.14,557.04,0,0.7,1.43,93.18,1.74,0,0,1.56,0.63,0,0.83,0,118.51,0,0,2.01,1310.4,4.93,0,14.9,0,0,1.29,0,0,0,0,96.48,0,0.92,2.4,0,7.92
 96-106,0,0,0.63,0,19.45,10.97,599.06,0.87,0,8.8,146.73,0.58,0,0,0.87,0,2.29,0,0,71,0,0,3.88,1146.98,0,0,11.34,0,2.14,7.34,0,0,0,0,36.64,10.22,2.14,9.14,1.88,2.15
108-118,0,0,4.12,0,8.16,2.13,565.28,0,0,0.77,112.09,0.86,0,1.34,0,1.9,0,0.99,0,76.63,1.53,0,0.62,1133.53,0,0,18.37,0,0,0,0,0,0,0,39.31,0.42,1.17,0,0.95,13.4
120,0,0,8.73,0,9.27,3.15,567,0,0,9.95,114.02,0,0,0,0,0,0,0,0,72.03,0,1.41,1.9,1856,3.89,0,21.36,0,15.75,1.97,0,0,2.43,0,95.29,0,0,0,0,5.7
