stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,119.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996.2,0,0,0,0,0,0,0,0,0,0
  5-6,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,0,0,1803.42,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,124.38,0,0,0,47.37,211.32,0,0,0,0,0,0,0,0,0,0
 10-12,13.39,0,0,0,0,22.95,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0,0,0,180.55,0,0,0,56.13,87.41,4.19,7.59,0,0,0,0,0,0,0,0
 14-21,0,1.04,2.31,1.21,0,1.8,0,0,0,2.16,3.39,0,0,0,3.37,0,0,0,0,4.56,0.92,0,0,21.26,0.95,0,0,0.99,528.95,2.87,0,0,9.6,9.56,0,0,0,0,0
 24-34,0,0,8.38,2.11,0,3.31,0,1.4,0,2.34,3.44,2.59,0.69,0,12.35,0,0.82,0,0,8.92,15.82,0,1.47,143.25,0.74,9.06,2.54,0,1273.89,0,4.22,0,1.42,36.01,0,0,3.2,0,0
 36-46,0,0,10.26,0,0,2.66,1.23,9.46,0,3.9,2.36,0,0,0,11.56,0,2.76,0,1.47,12.32,16.72,0,1.19,168.27,0,3.9,1.85,0,1135.2,0,0.7,0,0,19.9,0,0,3.02,0,2.9
 48-58,0,0,33.05,0,0,24.54,0,11.2,1.48,5.82,0,1.47,0.4,0,19.81,0.39,3.14,0,0,12.9,8.37,0,2.52,156.48,4.89,5.72,6.88,0,741.78,0,0.4,1.45,0,21.46,0,0,1.69,0,0.54
 60-70,0,0,34.87,0,0,79.52,0,9.61,1.47,2.26,0,4.48,0,0,7.97,0,0,0,0,21.47,16.71,1.05,3.75,191.56,0,1.9,3.39,0,747.02,0,4.35,0,0,18.2,0.84,0.69,1.16,0,7.94
 72-82,0,0,43.64,17,0,41.28,0,7.74,0.61,2.7,6.31,1.21,0.56,0.52,24.07,0,4.65,0,0,40.69,17.45,3.75,0,155.17,0,14.36,4.54,0,609.23,0,1.46,3.45,0,18.34,3.16,0.99,1.24,0,0
 84-94,0,0,100.2,3.44,0,48.66,1.15,21.3,0.86,14.81,28.39,4.11,0,0.64,50.79,0,3.53,0,0,17,37.8,0,1.82,73.96,0.66,14.33,1.96,0,1258.6,0,6.31,0,0,13.42,25.71,0,9.73,0,0
 96-106,0,0,144.62,5.31,1.06,47.86,0,29.28,9.54,13.94,60.96,0,0,1.79,71.47,0,4.28,18.99,0,17.33,37.88,4.34,2.23,113.63,0,28.84,3.88,0,1350.97,0,1.73,0,0,0.98,37.39,1.26,7.47,5.01,6.78
108-118,0,0,161.06,17.08,2.44,39.14,0.76,27.68,0.94,9.26,64.16,0,0,3.09,71.97,0.68,0.78,1.37,0,11.08,48.39,1.52,0.86,103.46,1,23.4,2.99,0,1211.75,0,1.81,0,0,0,63.42,2.32,3.64,1.69,0
120,0,0,131.18,14.73,0,7.07,0,24.8,5.01,14.76,33.96,0,0,3.61,31.65,0,4.27,0,0,10.51,18.62,0,0,96.9,2.98,10.55,0,0,744.46,0,3.91,0,0,0,47.81,0,0,0,0
