stage,blastomeres,epidermis,eye,glial,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,44.73,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.57,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,32.38,3.95,0,6.54,0,0,0,0
 10-12,0,0,0,0,0,11.82,0,0,12.08,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.18,0,0
 24-34,0,0,0.62,0,0.8,3.23,0,0,0,0.85,0,0,0
 36-46,0,0,0,0,0,14.14,0,0,0,0.78,0,3.06,0.84
 48-58,0,0,0,0,0,6.76,0,0,0,0,0,0.96,0
 60-70,0,0,0,0,0,4.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.03,0,0,0,0,0,0.72,0
 84-94,0,0,2.24,0,0,5.22,0,0,0,1.89,0,0,0
 96-106,0,0,0,0,0,1.11,0,0,0,0,0,5.42,0
108-118,0,2.93,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.41,8.75,0,0,0,1.09,0,1.54,0,0,0
