stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,55.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.48,44.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.32,0,0,4.17,0,0,0,0,11.2,0,0,0,0,0,0,0,0,64.97,0,0,0,12.73,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,111.26,5.09,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,11.65,0,0,0,0,8.15,1.08,0,0,0,0,0,1.92,0,0,1.21,76.32,0.83,1.84,0,0,0,0,0,0.98,60.01,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,20.23,0,0,0,0,0,0,12.8,0,0,0,210.82,0,5.03,0,0,0,0,0,0,148.24,0,0,0,0
 36-46,0,0,0,0,0,0,6.74,0,1.71,33.64,0.66,0,0,0,0,0,5.57,0,0,0,180.52,0,0.66,0,0,0,0,0,0,193.53,0,0,0,0.61
 48-58,0,0,0,0,5.44,0,14.07,0.37,0,47.21,0,0,0,0,0,0,5.57,0,0.39,0.6,116.65,0,1.99,0,0,0,0,0,0,92.2,0,0,0,0
 60-70,0,0,0,0,0,0,49.95,0,0,68.22,0,0,0,0,0,0,1.26,0,0,0,239.41,0,6.18,0,0,0.84,0.59,0,0,85.27,0,0,0,7.49
 72-82,0,0,1.88,0,3.83,0,62.88,0.7,0.58,122.82,1.31,0,0,0,0,0,29.82,0,0,0,382.06,0,0.63,0.49,0,0,0,0,0,83.69,1.96,0,0.67,0
 84-94,0,0,0,0,1.97,0,64.81,0,0,51.41,5.94,0,0,0,1.31,0,8.36,0.98,0,2.07,313.55,0,10.4,0,0,0,9.49,0,0,76.14,0,0,0,0
 96-106,0,0,1.93,0,3.7,2.21,34.6,0.67,1.65,72.09,5.61,0,2.97,0,0,0,24.43,0,0,2.75,320.73,0,2,0,0,0,0,0,0,54.42,0,0,0,3.79
108-118,0,0,0.91,0,0.51,0,51.84,0.61,0,75.05,0.43,0,0,0.77,0.52,0,15.85,0,0,0,443.7,0,1.82,0.63,0,0,0,0.42,0,32.3,0,6.77,0,0
120,0,0,0,0,6.02,0,89.36,0,0,145.32,1.51,0,0,0,0,18.38,12.13,0,0,0,819.3,0,4.49,0,0,0,0,0,0,61.36,0,0,0,0
