stage,eye,fin.mesenchyme,glial,mesenchyme,neural,olfactory,periderm,spinal.cord
  7-9,0,0,0,0,16.08,0,0,0
 14-21,0,0,0,0,1.27,0,0,0
 24-34,0,0,0,0.8,0.97,0,0.67,0
 36-46,0,0,0,0.79,0,0,0,0
 48-58,0.66,0,0,0,0,0,0,0
 60-70,0.66,0,0,0,0,0,0,1.32
108-118,0,1.27,0.55,0,2.68,0.83,0,0
