stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,83.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,46.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,0,0,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.86,0,0,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,36.91,0,9.11,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.61,9.41,0,0,12.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,9.66,33.05,53.91,0,3.18,1,0,4.49,1.93,2.98,0,0,0,44.93,0,30.85,0,0,15.5,50.15,18.97,7.41,18.18,0,0,9.22,1.07,0,0,4.4,29.73,0,0,15.97,0,0
 24-34,0,0,10.64,4.24,19.16,3.71,0,4.39,2.22,0,7.73,0,38.65,0,0,0,43.51,0,69.7,0,0,34.78,42.58,2.62,36.97,10.72,0,3.58,10.57,0,0,0,0,12.74,0,0,218.17,0,0
 36-46,0,0,3.51,0,3.87,2.92,0,0,3.79,0,3.52,0,25.58,0,0,0.7,2.95,0,85.02,0,9.77,6.45,18.57,16.19,49.42,0,0,0,21.36,0,0,0,0,7.37,0,0,118.75,0,0
 48-58,0,0,6.4,0,14.42,0,0,12.99,0,2.02,10.19,0,21.79,0,0,0,0,0.64,71.37,0,7.82,4.29,17.69,0,42.73,0.68,0,6.12,6.2,0,0.61,0,0,13.94,0,0.64,136.5,0,0
 60-70,0,0,0,0,24.69,0,0,6.93,0,9.57,38.76,3.37,4,0,0.62,0,2.31,0,148.66,0,8.49,2.98,42.41,4.55,57.73,0,0,1.1,6.23,0,0,0,0,10.12,0,6.15,109.03,0,0
 72-82,0,0,12.95,0,11.9,0,0,5.25,0,0,40.08,5.88,23.21,0.71,2.16,0,0.81,0.87,187.37,0,37.78,4.21,41.29,0.82,101.68,1.93,0,0.59,4.2,0,0,0,0,9.33,0,4.07,195.23,9.34,0
 84-94,0,0,15.36,0,36.48,7.66,0,14.59,1.29,1.88,27.67,6.26,22.08,0,3.57,0,11.06,0,142.3,1.13,13.7,1.23,55.54,3.98,111.86,1.29,0,0,17.53,0,0,0,0,5.48,4.53,11.66,167.02,18.46,0
 96-106,0,0,26.66,0,36.42,15.99,0,5.9,9.48,3.97,42.36,12.62,15.44,0,1.69,0,9.15,0,119.78,6.68,19.68,9.39,38.25,1.37,200.54,2.42,0,2.49,23.6,0,1.21,0.64,0,4.4,1.66,3.18,167.06,4.98,6.97
108-118,0,0,32.21,0,42.52,0,0.5,3.09,1.1,1,32.93,7.36,7.27,0,6.53,0,4.4,1.8,127.67,2.89,30.85,4.9,24.91,1.8,146.88,0.72,0,0,17.07,0,3.06,0,0,0,0.5,0.84,139.36,7.24,0
120,0,0,28.41,0,29.87,0,0,3.96,7.53,1.92,16.71,30.76,22.67,0,10.3,0,10.06,0,182.82,1.13,16.3,0,69.62,6.63,140.65,27.2,0,17.54,12.42,0,0,0,0,3.65,0,2.09,194.75,1.99,0
