stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,280.87,7082.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442.34,0,0,0,0,0,0,0,0,0,0
  5-6,117.09,951.45,0,0,0,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0
  7-9,22.78,5.3,0,10.77,0,0,0,40.04,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,232.04,12.18,0,0,90.48,0,3.26,11.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.99,0,17.26,0,16.44,0,0,0,0,0,28.74,0,0,0,0,0,0,0,0,0,0,322.29,34.94,0,0,113.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.24,3.79,19.02,6.92,0,12.26,0,0,0,1.28,6.74,2.01,0,0,0,0,0,0,6.6,0,0,3.03,85.86,2.83,0.93,2.8,3.8,0,0,0,13.35,1.63,5.44,68.92,0,0,0,0,0
 24-34,0,0,0,0,5.84,0,0,5.25,0,0,0,1.03,0.63,2.07,0,0,0,0,0,0.9,9.26,0,0,3.92,486.19,0.7,19.73,0.69,0,0,1.1,0,0,0,1.6,186.15,0,0,0,0,1.31
 36-46,0,0,0,0,8.29,0,0,2.95,0,17.07,0,4.01,0,0,0,0,0.71,0,0,0,3.26,3.88,0,1.66,1038.71,0,17.6,0.85,0,0,0.87,0,0,1.1,0,253.82,0,0,0,0,0
 48-58,0,0,0,0,6.19,0,0,76.16,0,0,3.06,15.44,0,0,0,0,0,0,0,0,14.37,1.75,0,6.13,1502.57,0,11.82,0,0,0,2.29,0,0,0,0,319.31,0,0,2.6,0,10.85
 60-70,0,0,0,0,7.78,1.88,0,265.47,0,1.99,1.34,13.14,3.86,0,0.84,0,0,0,0.61,1.24,23.26,6.23,0,0,2377.64,0,20.74,0,0,0,0,0,0,0,0,452.19,0.81,0,3,0,6.86
 72-82,0,0,4.3,0,12.28,5.97,1.16,388.44,0,0.57,0,19.35,7.23,0,0,0,0,2.68,0,0,21.62,3.38,2.79,0,1972.14,7.26,28.9,0,0,0,0,0,0,0,0,276.04,1.89,0,0,1.15,12.27
 84-94,0,0,4.79,0,24.1,1.03,0,313.38,0,0.66,0,14.52,18.22,0,0,1.86,0,0.67,1.09,4.2,13.54,7.3,2.01,3.6,1118.75,0,19.58,5.47,0,0,8.15,0,0,0,0,187.26,11.28,0,3.11,0,0
 96-106,0,0,8.63,0,19.88,5.31,0,243.43,2.38,6.43,1.65,29.87,15.58,0,0,0.68,0,0,1.6,0,18.38,2.92,0,1.16,1055.03,0,20.67,6.46,0,0,2.19,0,0,0,0,84.51,5.66,2.45,2.78,1.88,0
108-118,0,0,5.91,0,28.02,0,0,229.65,0,9.28,0,34.02,22.03,0,0,0.55,0.42,0,2.93,0,14.33,1.29,0.94,4.54,1501.32,0,16.98,3.18,0,2.86,0.7,0,0,0,0,57.98,10.45,0,5.86,0,0.97
120,0,0,0,0,43.24,0,0,301.44,0,12.8,19.12,12.5,4.18,0,0,2.29,0,0,0,0,16.94,10.2,0,3.16,1819.78,0,3.57,27.62,0,0,7.45,0,0,0,0,61.01,0,0,0,0,0
