stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,154.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,368.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.47,0,0,0,10.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.66,29.77,0,0,0,0,144.58,0,0,0,0,0,19.61,0,0,0,0,0,0,0,0,0,0,490.16,28.73,0,0,173.01,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,53.94,0,65.85,0,15.09,64.23,0,0,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,966.92,55,0,0,253.19,0,8.7,0,59.93,0,0,0,0,0,0,0,0
 14-21,0,0,1.38,2.71,26.88,2.19,14.05,0,0,0,0,2.38,0,0,0,1.6,0,0,6.85,7.33,0,0,2.36,1022.65,22.58,78.4,20.98,41.46,0,3.42,57.8,0,0,7.02,1622.26,0,0,11.06,0,0
 24-34,0,0,3,1.78,27.18,3.21,14.49,0,0,0,10.3,0,0,0,3.03,1.66,1.9,0,1.12,56.91,0,0,7.7,1768.53,46.62,169.02,6.21,0,4.19,0.86,1.22,0.61,0,16.62,4250.34,0,0,146.44,0,1.72
 36-46,0,0,0,0,12.45,0.58,98.69,0,0.58,0,25.62,0,0,2.87,2.72,1.17,1.21,0,0,63.07,0,0,3.59,1646.54,60.96,21.76,4.7,0,0,0,0,0,0.98,0,3049.11,0,0,161.2,0,12.04
 48-58,0,0,0,0,16.99,0,113.89,0.7,4.78,0,90.29,0,0,0,0,0,0,0,0,60.09,0,0,5.93,1610.67,26.15,3.78,2.34,0,0.49,0,0,0,0.38,0,2966.42,0,0,64.67,0,0
 60-70,0,0,0,0,9.7,1.55,283.72,0,0.94,1.28,37.73,0,0,0,0,0,0,0,0,47,0,0,0,1921.19,9.96,3.4,0.62,0,0,0,0,0,0,0,1752.21,0,0,10.56,0,8.49
 72-82,0,0,0.64,0,6.68,1.21,248.9,0,9.36,0.77,17.71,0,0,0,0,0,0,0,0,22.96,0.92,0,2.84,2050.51,1.06,7.16,1.4,0,0,0,0,10.01,0,0,1682,0,1.78,11.26,0.6,8.58
 84-94,0,0,5.15,0,11.62,6.52,233.14,0,1.03,7.82,54.81,0,0,0,0,0,0,0,0,91.41,0,4.46,3.07,2061.63,8.68,0.6,10.61,0,0.55,0,0,0,0,0,1076.06,0,0,23.17,0,0
 96-106,0,0,0.91,1.61,40.39,0,211.86,0,1.89,2.19,37.04,0,0,0,1.22,0.77,0,0,0,45.05,0,3.44,2.25,1221.11,4.37,3.49,1.71,0,0,1.62,0,0,0,0,488.67,0,0,19.98,1.91,0
108-118,0,0,0,0,9.05,0,251.95,0,2.05,0,31.41,0.94,0,0,0,0,2.84,0.74,0,28.6,0,2.47,0.91,1744.65,1.38,2.37,1.75,0,4.38,0,0,0,0,0,433.4,4.83,0,5.02,0,0
120,0,0,0,0,39.24,1.56,117.71,0,0,9.22,18.68,0,0,0,1.18,2.42,0,0,0,54.97,0,0,3.28,2250.36,5.7,0,0,0,3.99,0,0,0,0,0,604.28,2.31,0,1.84,0,0
