stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,212.76,5638.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.75,0,0,0,0,0,0,0,0,0,0,0
  5-6,135.4,1381.74,0,10.71,0,0,0,0,0,0,0,0,0,34.92,0,0,0,0,0,0,0,0,0,0,30.57,0,0,0,8.03,0,71.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,55.71,46.94,0,37.9,0,0,0,59.35,0,0,0,0,0,40.53,0,0,0,0,0,0,0,0,0,0,665.9,30.13,0,0,243.44,0,0,16.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.1,0,20.82,0,27.5,0,73.96,0,0,0,0,0,26.87,0,0,0,0,0,3.73,0,0,0,0,806.21,52.15,0,0,265.11,0,0,9.99,0,9.45,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,0.96,15.55,5.34,0,3.68,0,0.95,0,2.01,2.79,0.86,0,0,0,0,0,5.77,0.97,14.33,0,2.95,150.96,0,1.03,2.3,1.77,0,2,0,6.9,5.86,0,7.92,59.94,0,0,1.89,0,0
 24-34,0,0,1.26,1.19,8.92,1.39,0,27.14,0,0,0,6.5,5.17,0,0,0.61,0.63,0,1.32,13.16,3.94,31.51,0,10.97,492.64,0,6.44,3.25,1,0,0,0,0,1.26,0,3.62,145.66,0,0,10.74,0,1.99
 36-46,0,0,0,0,2.11,0,0,44.29,0,0,2.75,10.39,0,0,1.77,3.55,0,0,0,0,1.24,24.33,0,6.03,748.46,0.56,12.73,1.91,0,0,8.19,0,0,0.67,0,0,157.82,0,0,4.21,0,1.08
 48-58,0,0,0,0,2,0,0,160.36,0,0,0.44,21.32,0,0,0,4.28,0,0,1.93,0,0,29,0,2.63,880.11,0,6.14,0,0,0.39,2.43,0,0,0,0,0,168.63,0,0,2.51,0,0
 60-70,0,0,0,0,5.24,0,0,356.88,0,0,2.59,14.2,0.68,0,0,0.57,0,0,0,1.72,1.22,16.44,0,2.34,946.19,0,0.98,2.21,0,0,2.31,0,0,0,0,0,189.66,0,1.35,4.71,0,0
 72-82,0,0,0.79,0,0.59,0.56,0,320.35,0,0,1.51,17.24,0,0.5,0,5.83,0,0,0.53,0,0,16.81,0.75,0.56,755.86,0,6.12,4.59,0,0,0,0,0,0,2.66,0,110.18,0,0,5.09,1.53,0
 84-94,0,0,0,0,1.72,1.04,2.96,244.67,0.7,0.75,0,17.16,6.72,0.64,0,3.03,0,0.58,0,0,0,27.85,1.36,3.7,509.16,0,6.22,0,0,0,3.85,0,0,0,0,0,49.92,0,1.11,3.83,1.81,0
 96-106,0,0,0,0,4.48,0,0,134.39,0,0,0,7.54,0.81,0,0.96,0,0,1.22,0,0.84,0,12.06,1.41,1.43,380.09,0,2.84,0,0,0.83,2.52,0,0,0,0,0,26.02,0,0,13.6,0,0
108-118,0,0,0,0,1.81,2.73,0,143.63,0,0,0,38.63,0.53,0,2.35,0.42,0.67,1.85,0,0.84,0,32.05,3.34,3.74,600.66,0,0.7,3.08,0,1.07,0,0,0,0,0.46,0,33.78,0.89,2.35,3.92,1.93,0
120,0,0,1.22,0,3.08,0,3.41,140.06,0,0,0,57.99,5.2,0,0,8.22,0,0,0,0,0,6.09,0,6.18,751.13,0,3.57,2.59,0,3.42,2.95,0,0,0,0,0,46.65,0,0,8.67,0,0
