stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.47,1774.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.08,0,0,0,0,0,0,0,0,0,0,0
  5-6,94.54,1111.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.38,0,0,0,0,0,11.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.51,24.37,0,21.72,0,0,99.02,0,0,0,0,14.69,0,0,0,0,0,0,0,0,0,0,0,607.08,17.05,0,0,198.47,0,0,13.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.77,0,17.69,0,8.6,56.78,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,574.55,0,0,0,165.73,0,0,0,0,21.9,0,5.96,3.51,0,0,0,0,0
 14-21,0,0,0,8.33,76.64,20.69,34.33,0.91,0,27.65,1.94,1.19,0,0,2,0,0,0,0,61.05,0,0,31.48,547.5,11.18,7.42,4.41,20.36,0,22.51,2.02,29.95,3.95,2.07,39.67,172.07,0,0,0,0,0
 24-34,0,0,0.75,1.39,17.44,0,87.8,0,0,18.73,5.23,0,0.62,1.04,0,0,1.6,0,1.09,62.85,1.56,0,20.93,1050.18,4.1,3.04,4.4,0,0,52.85,0,0,0,1.04,10.72,247.14,0,0,14.43,0,0
 36-46,0,0,0,0,21.09,5.04,199.48,0,0,16.85,0,0,1.71,0.57,0,1.49,0,0,3.85,48.04,0,0.86,8.19,652.51,1.19,4.58,1.6,0,0,12.3,0,0,0,0,0,155.98,0,0,17.39,0,0.67
 48-58,0,0,0,0.43,12.14,2.49,233.75,3.56,2.29,32.99,0.69,0,3.02,2.63,0.37,0,0.38,0,0,64.47,0,4.68,7.84,285.93,2.53,3.5,0.41,0,0,6.51,0,0,2.27,0,0,51.81,0,0,7.66,0,0.55
 60-70,0,0,0,0,27.82,1.91,132.39,1.36,3.5,43.28,0,0,0,0,0,4.85,2.21,0,0,36.22,0,3.34,7.1,151.01,3.66,4.93,0.78,0,0,7.78,0,0,0,0,0,15.08,0,0,0.89,0,0
 72-82,0,0,0,0,19.12,7,44.93,0,0.68,15.13,1.88,0,2.24,0,0,2.26,0,0,0,53.23,0,3.91,10.06,108.45,0,2.27,3.41,0,0,8.79,0,0,0,0,0,2.89,0,0,8.84,0,0
 84-94,0,0,0,0,11.29,3.8,54.48,0,2.16,22.54,2.93,0,2.46,4.41,3.91,2.29,0,0.74,0,53.24,0,4.47,7.45,115.66,10.23,0.83,8.85,0,0,14.81,0,0,0,0,0,1.69,0.61,0.88,8.69,0,10.11
 96-106,0,0,0,0,14.01,7.36,32.06,0,1.26,16.75,3.46,0,0.62,6.23,3.35,0.92,2.23,6.42,1.03,38.86,1.84,2.47,2.94,77.52,0,3.7,1.53,0,1.17,31.46,0,0,0,0,0,6.13,0,0,1.36,0.69,0
108-118,0,0,0,0,15.33,8.4,41.9,1.81,2.19,46.76,6.93,0,0.86,10.14,0,4.63,0,1.32,3.89,48.96,3.53,1.97,5.7,108.58,2.45,0,0.64,0,4.75,13.54,0.42,0,0,0,0,6.66,0,0,6.11,0,0
120,0,0,0,0,7.91,4.28,45.49,1,4.44,26.71,6.47,0,4.06,1.51,0,1.91,0,0,3.89,11.2,0,2.22,0,100.87,0,1.77,13.54,0,0,6.31,0,0,0,0,0,8.22,0,0,6.19,0,1.64
