stage,blastomeres,eye,glial,immune,neural
  3-4,23.72,0,0,0,0
 72-82,0,1.45,0,0,0
 96-106,0,6.57,2.19,0.68,0
108-118,0,3.3,0,0,1.03
120,0,0,0,6.9,6.7
