stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.23,396.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.88,0,0,0,0,0
  5-6,23.05,157.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,5.08,0,3.93,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,45.46,0,0,0,9.76,0,0,0,0,0,0,0
 10-12,0,0,0,14.75,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0,18.88,3.65,0,0,15.58,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.86,0,0,0,0,0,0.87,0,0,0,1.19,2.03,0,0,2.01,20.56,0,0,0,0,0,0,0,6.13,0,0,0
 24-34,0,0,0.71,0,1.32,0,0,2.82,0,1.77,0,0,0,0,0,7.13,0,0,0.63,143.04,0,1.36,0,0,0,0,0,18.8,0,0,0
 36-46,0,0,0,0,0.94,0,0,5.98,0,3.76,0,0,0.65,0,0,0.72,0,0,0,485.36,0,7.71,0,0,0,0,0.72,35.45,1.78,0,0
 48-58,0,0,0,0,2.28,0,0,34.73,0.54,13.56,0,0,0,0,0,3.87,1.73,0,0,954.91,0,2.47,0,0,0,0,0,55.47,0,0,2.88
 60-70,0,0,0,0,0,0,0,175.48,0,19.73,0,0,0,0,0,4.51,0,0,0,1457.44,0,2.08,0,0,0,0,0.58,74.96,0,0,0
 72-82,0,0,0,0,1.97,1.47,0,172.72,3.31,15.06,1.68,0,0,0,0,6.54,0,0,1.08,1239.48,0,0,0.97,0,1.77,0.62,0.97,26.92,0,1.33,12.61
 84-94,0,0,0,0,3.11,0,0,211.65,0,17.33,0.93,0,0,0,0,6.29,0,1.9,0,879.35,0,0,0,0,0,0,0,17.74,0,0.75,0
 96-106,0,0,0,0,1.38,0,0,135.56,0,13.41,0,0,0,0,0,1.5,0,0.59,0,565,0,0.64,0,0,0,2.51,0,6.61,0,0,3.35
108-118,0,0,0,0,12.41,0,1.73,86.14,0,17.32,0,0,0,1.01,3.15,0.57,0,0,0,652.96,0,1.64,0,0,0,0,0,6.42,0,1.22,0
120,0,0,0,0,6.85,0,0,94.82,0,17.53,0,0,0,0,0,21.12,0,0,0,871.17,0,2,0,0,0,0,0,0,0,0,0
