stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,16.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0
  5-6,39.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.54,0,5.09,0,0,0,0,0,0,0,34.97,6.27,0,0,16.54,0,0,0,0
 10-12,0,0,0,0,4.39,0,14.66,0,0,0,0,0,0,0,94.9,0,0,0,15.93,0,0,0,0
 14-21,0,2.79,5.4,2.6,1.34,8.83,0,0,0,0,0,5.44,0,0,14.02,0,1.04,3.5,0,3.5,8.46,23.45,0
 24-34,0,0,2.15,0,2.64,2.73,0,0,0,0,0,0,0,0.68,0.78,0,4.26,0.65,0,0,6.75,11.72,1.31
 36-46,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.48,2.23,0.92
 48-58,0,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0.67,0,0,2.4,0,0,0,9.97,0
 60-70,0,0,1.12,0,0,0.85,0,0,0,0,0,0,0,0,1.25,0,1.43,2.12,0,0,0,1.25,0
 72-82,0,0,0,0,4.66,4.24,0,0,0.78,0,8.77,0,0,0,2.12,0,5,0,0,0,0,2.17,0
 84-94,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,5.34,7.62,0,0,1.27,0,0
 96-106,0,0,0,0,0,0,0,0.73,0,0.61,0,0,1.03,0,0,0,3.72,4.54,0,0,1.5,0.98,0
108-118,0,0,0,0,0,4.16,0,0,0,0.9,1.27,0.7,0,0,0,0,2.26,1.66,0,0,1.04,0,0
120,0,0,0,0,4.28,0,0,1.25,0,8.6,0,0,0,0,2.11,0,0,2.63,0,0,4.05,2.68,0
