stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,112.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.89,179.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.16,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.95,0,0,18.7,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0,152.87,6.18,0,0,41.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.07,0,19.78,0,0,31.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.26,0,0,0,46.53,0,0,0,16.81,0,0,0,0,0,0
 14-21,0,0,0,2.48,12.33,2.6,8.56,0,0,0,7.67,3.69,0,1.15,0,0,0,0,0,0,7.82,0,0,4.19,134,7.03,0,0,0.81,0,0,8.22,0,8.45,31.26,0,3.21,0,0
 24-34,0,0,0,0,5.78,0.81,16.62,0,0.67,0,3.01,1.45,0,0,0,0,0.7,2.06,1.13,0.67,19.53,0,0.89,8.93,285.34,0,3.01,5.48,0,0,2.5,0,0.7,1.34,55.07,0,0,0,1.99
 36-46,0,0,0,0,0,0,49.71,0,0,0,7.71,0.57,0,0,0,0,1.37,0,0,0,19.22,0,0,8.93,237.87,11.2,0.76,2.03,0,0,3.58,0,0,0,62.72,0,1.94,0,0.82
 48-58,0,0,0,0,2.21,0,61.81,0,0.74,0,16.99,0,0,0,3.11,0,0.56,0,0,1.87,10.37,0,1.96,0.82,145.99,0.65,0,0,0,0.59,0,0,0,0,41.33,0,0,0,0
 60-70,0,0,0,0,3,0,73.83,1.17,4.81,0,11.25,0,4.08,0,0,0,3.59,2.29,0,0,11.45,0,0.7,3.07,95.62,2.55,0.89,2.15,0,0,0,0,0,0,34.57,0,0,0,0
 72-82,0,0,0.5,0,1.56,8.1,81.61,0,0,8.04,15.94,0.56,0,0.81,1.32,0,0,0.64,0,0.49,30.83,6.76,1.1,4.17,109.31,0,0,0.9,0,0,0.78,0,0,0,17.57,0,1.04,0,0.63
 84-94,0,0,0,0,5.54,1.24,67.28,0,2.45,0,18.11,0.89,0.66,0,0.71,2.1,0,3.06,0,0,20.43,0,0,2.68,101.86,0,0,0,0,0,1.57,0,0,0,21.54,0,5.94,3.04,0
 96-106,0,0,0,0,3.06,1.58,48.87,0,0,1.81,27.39,2.23,0,4.49,1.99,1.46,0,1.15,0,0,33.81,0,1.68,2.97,87.77,0,1.9,0.65,0,0,4.69,0,0,0,9.82,0,1.46,0,0
108-118,0,0,3.13,0,5.64,0.42,80.86,0,0,1.53,29.8,0,0,0.68,0,2.81,2.12,0.56,0,1.33,37.51,0,6.88,0.77,112.18,1.42,0,0.86,0,0,8.16,0,0,0,23.58,0,0,0,2.24
120,0,0,0,0,15.46,0,42.62,0,1.22,1.67,19.7,0,0,0,0,0,0,1.48,0,0,30.51,0,0,6.58,179.96,13.99,5.69,0,0,0,7.79,0,0,0,15.77,1.51,0,7.27,0
