stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.94,430.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.16,0,0,0,0,0,0,0,0,0,0
  5-6,24.74,92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.61,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,0,0,4.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.86,3.28,0,0,14.95,0,68.99,6.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,26.34,0,0,0,5.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,393.51,15.49,0,0,27.83,0,22.88,0,0,17.87,0,0,0,0,0,0,0
 14-21,0,0,1.23,3.78,60.57,0,0,4.04,0,1.16,0,3.3,3.68,5.82,0,0,17.29,0,0,0,0,5.6,0,0,2.4,55.54,5.74,5,2.87,0.92,0,177.05,1.44,1.89,4.5,0,42.97,0,0,0,0,3.62
 24-34,0,0,3.59,1.28,39.01,0,0,18.1,0,10.6,0,2.14,0.63,1.35,0,2.07,51.68,0,9.72,0,0,7.31,11.15,0,2.31,220.38,5.66,22.61,7.97,0,0,457.39,0,0,6.95,0,53.06,0,0,2.34,0,0
 36-46,0,0,2.65,0,29.64,0,0,39.5,0,22.34,0,13.25,0.65,0.59,2.02,3.2,24.22,0,6.61,0,19.45,9.36,13.9,0.7,10.71,422.95,20.35,37.09,12.68,0,8.6,617.84,0,0,17.81,0,80.19,0,0,0.56,0,1.31
 48-58,0,0,0.74,0,15.89,0,0,107.23,0,15.98,0,21.09,0.69,4.46,1.28,5.29,18.04,0.89,13,4.78,4.42,18.5,10.41,0,3.21,404.27,6.08,24.94,9.05,4.77,0,390.76,0,0,3.12,1.03,88.26,0,0.44,7.46,0,6.05
 60-70,0,0,1.3,0,34.3,4.71,0,285.13,0.63,29.06,0,46.91,1.99,2.66,5.23,8.48,21.88,0,18.26,8.69,9.02,39.5,8.73,3.34,4.71,455.53,3.64,34.81,8.92,0,0,342.4,0,0,3.23,2.63,68.88,5.3,0,8.36,0,15.72
 72-82,0,0,8.16,0.64,32.01,3.24,0,230.97,1.33,15.92,0.94,48.29,14.55,1.04,3.97,9.55,12.76,0,15.69,2.62,4.25,44.85,11.26,2.77,2.76,312.17,1.8,29.84,16.74,0,3.28,236.64,0,0,5.56,0,43.11,16.1,2.37,3.64,2.34,7.12
 84-94,0,0,13.63,0,85.53,1.66,0,172.76,0,21.33,0.91,23.54,25.42,2.81,2.63,10.05,31.73,0.76,14.69,1.26,6.1,45.3,19.46,4.04,2.74,279.15,11.94,26.57,17.47,0,2.56,531.79,0,0,4.01,7.9,15.98,41.4,0.56,1.35,0.6,3.49
 96-106,0,0,6.33,0,95.29,6.32,0,177.92,0,17.59,0,46.88,48.5,0,4.53,22.68,34.89,0,31.24,6.99,8.07,50.14,17.37,0.63,0.68,194.19,1.95,41.19,19.88,0,0,424.48,0,0,2.45,1.99,21.6,38.64,0,10.27,2.94,6.47
108-118,0,0,3.31,0.44,81.88,3.87,3.87,172.83,0,24.36,6.01,43.44,34.85,0,0.8,10.2,34.31,4.54,17.61,3.8,5.44,47.45,37.5,6.03,0.57,237.53,5.67,35.58,18.88,0,0,361.89,0,0,2.95,1.04,12.32,47.25,1.24,7.81,2.88,0.92
120,0,0,0,0,96.36,1.1,3.13,105.14,0,27.99,0,22.53,55.47,0,0,17.67,16.79,0,19.1,12.94,0,73.3,13.87,0,2.36,402.86,2.43,37.38,15.35,0,0,236.63,0,0,4.76,0,15.9,23.75,0,1.26,14.74,0
