stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,glial,heart,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,0,65.37,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0
  5-6,17.08,34.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,23.21,0,3.71,0,0,0
 10-12,0,0,0,0,5.86,0,0,0,0,0,48.47,0,13.34,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0
 36-46,0,0,0.95,0,0,0,0,0,0,0,3.54,0,0,0,0,0.75
 48-58,0,0,0,0,0,0,0.58,0,0,0,0.77,0,0,0,0,0
 60-70,0,0,0,0,0,0.9,0,0,2.34,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0
 84-94,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0.89,0,0.74
 96-106,0,0,0,0,0,0,0,0,3.75,2.43,0,0.57,0,0,0,0
108-118,0,0,0,0,1.19,0,0,0.42,1.38,0,1.45,0,0,0.51,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,1.26,0
