stage,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,slow_muscle,somites,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0,1.13,0
 24-34,0,0,0,0,0,0,0,0,0,1.51,0,0,11.64,0,0,10.28,0,0,0.71
 36-46,0,1.87,0,0,0,0,0,0,0,0.89,0,0,16.46,0.59,0,0,0,0,1.18
 48-58,0,4.56,0,0,0,1.39,0,0,0,1.96,0,0,6.64,0,0,0,0.4,0,0.94
 60-70,0,7.7,0,14.48,0,0,0,0,0,2.32,0,0,2.39,0,2.16,3.02,0,0,0
 72-82,1.21,7.65,0,0,0,0,0,2.88,0,0,0,0,1.02,0,0,0,0,0,0
 84-94,0,0.83,0,0,0,0,0.63,0,0,1.21,0,0,0,0,0,3.16,0,0,0
 96-106,0,6.04,0,0,0,0,0.96,0,3.42,0,5.07,0,4.33,0,0,1.23,0,0,0
108-118,4.51,0,0,0,0.68,0,1.43,0,0,1.75,0,0.62,1.12,0,0,0,0,0,0
120,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
