stage,axial,blastomeres,eye,neural,notochord,paraxial.mesoderm,pgc,pronephros,somites
  3-4,26.49,117.28,0,0,0,0,0,0,0
  5-6,6.74,158.48,0,0,0,8.94,0,0,0
  7-9,4.72,0,0,17.97,0,22.15,6.94,0,0
 10-12,0,9.59,0,72.69,6.28,19.52,0,7.81,4.75
 36-46,0,0,0,1.01,0,0,0,0,0
 48-58,0,0,0.56,0.93,0,0,0,0,0
108-118,0,0,0,1.28,0,0,0,0,0
