stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0.9,9.48,0.92,0,11.7,0,0,3.12,2.21,0,0,1.02,0,8.88,11.76,0,2.98,91.6,1.53,0,2.23,1.93,0,6.82,0,0.84,11.36,28.04,0,0,0,0
 24-34,0.6,2.08,0,0,5.77,0,0,0.72,0,0.67,0,0,0,0,16.55,0,5.55,111.92,0,0,2.04,0,2.53,0,0,0,1.91,31.7,0,0,3.6,0
 36-46,0,9.19,0,0,6.26,0,0,3.55,0,1.7,0,0,0,0.58,8.42,0,0.64,120.92,0,1.08,1.74,0,1.87,0,0.88,0,0,36.08,0,0,0,0
 48-58,0,1.63,0,0,10.86,0.44,0.41,11.61,0,0,0,0,0,0,3.83,0,0.49,91.16,0,0,2.77,0,0,0,0,0.98,0,14.28,0,0,8.84,0
 60-70,0,2.74,0,0,14.27,0,0,1.28,0,0,0,0,0,0,2.95,0,0.68,28.12,0,0,0,0,0,0,0,0,0,23.2,0,0,3.69,0
 72-82,0,0,6.15,0,15.28,0,0,14.22,0,0,0,0.83,1.27,0,5.38,0.72,0,78.67,0,0,0,0,2.48,0,0.76,0,0,15.46,0,0,1.49,0
 84-94,0,0.83,0,0.65,15.76,0,0,4.2,0.56,0,1.57,0,0.81,0,3.65,0,0,8.33,0,0,7.5,0,3.15,0,0,0,0,0,0,0,0,0.77
 96-106,0,3.45,1.68,0,7.43,0,0,3.68,0,0,0,0,0,0,3.22,0,0,29.43,0,0,1.64,0,5.14,0,0,0,0,3.33,1.57,0,0,0
108-118,0,5.54,6.34,0,6.44,0,0,5.57,2.46,0,0,0,0.64,0,1.02,0,4.9,40.03,0,0.57,1.46,0,3.93,0,2.25,0,0,0,0.52,0.67,0,0
120,0,7.64,0,0,25.83,0,0,4.2,1.67,0,0,0,0,0,0,0,0,30.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
