stage,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,otic,periderm,somites,spinal.cord,vasculature
 14-21,0.81,0,0,0,0,0,0,3.98,0,0,0.98,1.49,0
 24-34,0,0,0,0,1.31,0,0,12.97,0.79,0.89,0,0,0
 36-46,0.97,0,0,0,0,0,0,5.14,0,0,0,0,0
 48-58,2.97,0,0,0,2.18,0,1.9,4.1,0,0,0,0,0
 60-70,4.74,0,0,0.74,0,0,0.58,0,0,0,0,1.79,0
 72-82,0.62,0,0,1,1.4,0.71,0,2.4,0,0,0,0,0
 84-94,0,0.79,0,0,0,0,0,0.58,0,0,0,0,1.93
 96-106,0,0,2.34,0,2.23,0,0,0,0.65,0,0,0,0
108-118,0,0,0,0,0.88,0,0,5.86,0,0,0,0,0
120,6.34,0,0,0,0,0,0,27.62,0,0,0,0,0
