stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,3.85,122.6,0,1.55,0,0,2.48,0.82,0,0,21.95,106.71,0,0,0.81,0,0
 24-34,0,0.8,0.7,0,0,0,6.42,14.39,0,0,0.87,1.28,0,0,0,0,0,0,0,0,0.67,0,0,14.36,479.8,0,12.43,0,0,10.76,0,0,0,36.42,210.94,0,0,3.63,0,0
 36-46,0,0,0,1.16,0,0,12.71,11.24,15.87,0,14.18,0,0,0,0,0,0,0,2.63,0,3.48,0,0,10.25,824.79,1.28,19.8,0,0,4.79,0,0,1.27,4.48,232.96,0,0,0,0,0
 48-58,0,0,0,0,0.58,0,66.47,1.35,0,4.97,24.51,0,0,0,3.11,0,0,0,0,0,9.15,0,0,4.53,994.02,1.02,7.42,0,0,1.45,0,0,0,0,209.23,0,0,0.77,0,0
 60-70,0,0.86,0,0,0,0,138.71,4.2,0.94,0,19.9,0,0,2.83,0,0,0,2.2,0,0,8.16,0,0,8.74,1333.75,1.36,8.22,1.42,0,2.51,0,0,0,0,278.97,0,0,10.69,0,1.83
 72-82,0,0,0,22.48,1.45,0,187.41,0.96,1.14,0,24.52,0,0,0,0,1.41,0,0,0,0,15.35,0,0,2.17,1431.45,0,5.75,0,0,0,0,0.66,0,0,199.33,4.74,0,2.09,0,5.78
 84-94,0,0,0,3.69,8.89,0,151.23,0,0,0,25.13,0,0,0,0,0.95,0,0,4,0,13.04,0,0,6.05,813.24,0,28.73,7.3,0,9.3,0,0,0,0,121.78,4.42,1.64,0,0,0.82
 96-106,0,1.41,0,9.37,10.13,0,141.25,1.33,1.82,0,22.46,0.88,0,0,0.61,4.8,0,0.58,0.6,7.05,29.99,0,2.34,4.06,961.77,0,11.19,2.7,2.63,3.25,0,0,0,0,62.05,2.08,0,0.68,4.62,0
108-118,0,0,0,11.61,0,0.44,165.8,0.58,0,0.81,26.21,0,0,0,2.04,0,1.01,0,0,0.59,3.87,6.34,0,9.95,995.33,0,12.26,8.73,0,4.85,0,0,3.63,0,84.98,0,0,1.35,0,1.43
120,0,0,0,17.8,3.08,0,297.64,0,1.33,8.12,42.66,0,0,0,0,0,0,0,7.33,0,62.44,0,9.54,15.28,1875.48,0,25.56,0,0,4.81,0,0,0,0,111.3,0,0,10.95,0,0
