stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.92,0,25.86,0,18.55,0,0,0,0,168.2,46.71,0,0,0,0,0,0
 10-12,0,0,0,13.5,0,7.67,0,0,0,0,93.38,4.87,0,0,0,0,0,0
 14-21,0,0,1.45,0,0,0,0,0,0,0,1.28,0,0,0.83,4.96,0,0,0
 24-34,0,0,0.84,1.04,0,0,0,0,1.07,0,6.18,0,0,0,0,0,0,0
 36-46,0,0,1.71,0,1.06,0,0,2.52,0.71,0,16.2,0,0,0,1.19,0,0,0
 48-58,0,0,0,5.27,8.08,0,0,0,1.98,0.71,8.65,0,0.4,0,1.31,0,0,0
 60-70,0,0,0,1.11,0,0,0,0,0,0,11.33,0,0,0,0,0.61,0,0
 72-82,0,0,0,1.08,0,0,0,0,2.58,0.76,5.64,0,0,0,2.57,0,0,0
 84-94,0,0,0,0.71,2.36,0,0,0,0,0.68,0,0,1.68,0,0,0,1.21,0
 96-106,0,0,0,0,0,0,0,0,2.12,0,0.88,0,0,0,1.32,0,0,2.48
108-118,0,0,0,0.88,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0
120,0,0,4.03,19.52,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0
