stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.1,229.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0
  5-6,0,192.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.86,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.71,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.93,0,0,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,5.84,4.36,1,0,0,0,0,0,0,0,0,0,0,5,8.88,2.22,0,0,9.77,16.91,0,0,0,0,0,0.86,0,0,333.08,85.81,1.92,0,0,6.41,0,0
 24-34,0,0,0,0,1.55,1.55,5.63,26.35,0,0,0,0,0,4.65,3.65,0,0,0.66,0,10.98,0,0,46.19,85.28,0.63,0,2.72,0,0,2.88,0,0,115.45,89.52,5.79,0,0,65.74,0,20.3
 36-46,0,0,0.94,0,3.28,0,1.23,34.92,0,0,2.48,0,0.89,14.55,0,0,0,10.62,1.41,8.83,0,0,19.71,80.27,0,0,0,0,0,2.06,0,0,68.4,4.71,8.22,0,0,84.38,0,6.38
 48-58,0,0,0,0,0.87,0,13.33,25.92,0.85,0,0.55,0,4.81,5.73,0,0,0,7.34,18.83,13.74,6.26,0,27.82,91.1,1.06,0,0,0,0,0,0,0,37.9,0,12.35,0,0,60.49,0,22.74
 60-70,0,0,0,0,0.83,5.61,1.92,27.27,0.69,3.72,0,0.57,0,16.35,0,3.98,0,0,27.14,33.36,0,0,24.28,53.78,2.42,0,0,0,0,0,0,1.88,45.26,0,4.92,0,0.82,55.72,0,26.39
 72-82,0,0,0,0,4.34,0,12.05,29.31,19.28,1.75,1.25,0,0.58,10.69,0,0,0,0,10.16,58.28,0,1.52,16.82,49.21,0,1.11,0,0,0,1.7,0,0,19.57,0,2.24,0,3.83,95.67,0,10.25
 84-94,0,0,0,0,6.97,0.79,10.85,41.25,0.56,0.58,3.48,0,2.1,36.1,1.51,5.2,0.78,0,58.15,47.27,0.71,4.3,17.52,44.17,0,0,0,0,2.32,1.54,0,0,15.57,0,9.6,6.15,1.15,96.72,2.4,7.48
 96-106,0,0,0,0,9.86,23.76,20.92,16.43,1.72,6.99,14.77,9.76,8.68,19.13,0,6.14,0,6.64,7.87,95.31,0,0,11.79,43.26,0,0,0,0,5.27,8.67,0,0,14.4,0,0.57,4.54,3.09,54.5,4.51,19.71
108-118,0,0,0,0,19.29,0.59,16.5,25.55,2.17,3.69,3.44,13.52,0,32.53,5.4,20.95,1.24,5.57,42.34,114.4,0,2.87,11.94,73.42,0,1.47,0,0,9.57,5.57,0,0,12.42,0,0,0.52,2.41,69.26,0,17.27
120,0,0,0,0,25.82,4.96,24.57,28.26,0,4.94,8.9,30.09,0,75.96,0,52.21,0,7.86,8.07,167.19,0,19.19,16.13,120.46,0,0,0,0,12.35,5.79,0,0,1.32,0,6.2,0,0,47.16,0,14.79
