stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,109.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.45,10.72,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.14,0,0,0,0,1.03,0,0,0,8.56,2.53,0,0,0,0,1.91,0.98,0,0.85,2.51,0,0,0,0,0
 24-34,0,0.75,0,0,0,11.4,3.59,0.8,0,0,0,0,60.23,0,0,0,0,3.19,4.11,0,0,146.94,1.15,2.14,0,0,0,3.07,0,0,1.81,50,0,0,0,0,0
 36-46,0,1.54,0,0,0,19.76,9.43,2.71,1.3,0,0,0,49.25,0,0,0,0,1.35,4.24,0,3.18,375.64,0.57,6.09,0,0,0,5.92,0,0,0,64.31,0,0,0,0,0
 48-58,0,1.35,9.57,0,0,103.56,2.42,5.55,6.91,0,0,0,20.19,0,0,4.43,1.83,5.45,1.73,0,1.31,656.23,0,4.4,0,0,0,0.97,0,0,0,73.04,0,0,0,0,0
 60-70,0,3.8,11.4,0,0,983.54,7.5,0.83,1.59,0,0,2.45,20.61,2.74,0,0,5.58,7.12,0,0,1.9,1195.9,0,2.02,3.28,0,0,0,0,0,0,120.03,0,0,0,0,1.56
 72-82,0,2.65,20.27,0,0,2031.8,3.32,6.34,42.45,2.01,0,0,6.24,5.12,0.79,8.72,15.7,37.67,0,0.98,0.95,1341.93,0,2.84,2.14,0,0,2.54,0,0.55,0,145.26,0,0.52,5.57,0,8.85
 84-94,0,4.35,4.97,10.33,0,1078.5,13.39,3.19,46.17,2.5,0,0,27.29,17.99,0,0,7.21,19.57,0.55,0.74,2.91,1010.49,0,7.71,0,0,0,4.16,0,0,0,90.47,0,2.93,0,2.26,0
 96-106,0,5.61,4.68,23.26,0,1727.22,6.12,1.14,27.64,0,0,3.37,22.61,13.16,0,1.03,20.99,25.89,0.74,8.24,0.76,997.81,0,8.58,1.67,0,0.97,8.18,0,0,0,64.25,0,0.78,3.69,1.43,1.24
108-118,0,7.63,21.74,0.96,0.66,1374.24,14.03,4.39,43.06,1.2,1.9,0.99,17.19,66.15,0.55,0,26.5,24.46,1.18,0,0,1033.36,0,3.33,0.48,0,0,0,0,0,0,76.89,2.14,0,0.61,1.58,3.81
120,0,1.43,28.15,2.14,0,986.89,5.87,1.83,80.87,0,0,0,17.62,6.27,4.83,0,4.96,17.2,0,0,0,2084.22,0,2.34,0,0,0,1.92,0,0,0,116.88,0,0,0,0,8.94
